# ----------------------------------------
# Master
# Channels
# 20230201-20230214
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,566","5,057","8,736",15.08%,2.06,00:02:51,1.98%,173,$0.00
Direct,"4,497","4,062","5,497",35.11%,1.90,00:02:13,2.67%,147,$0.00
Display,"4,147","4,099","4,394",84.07%,1.05,00:00:14,0.07%,3,$0.00
(Other),"3,806","3,566","3,949",67.31%,1.11,00:00:35,0.25%,10,$0.00
Paid Search,"1,713","1,392","2,215",25.10%,2.03,00:02:13,2.93%,65,$0.00
Referral,361,244,564,20.39%,2.92,00:04:52,0.53%,3,$0.00
Social,248,201,287,17.77%,1.35,00:01:21,0.35%,1,$0.00
Email,173,128,189,17.99%,1.30,00:01:23,0.00%,0,$0.00
,"21,511","18,749","25,831",40.09%,1.71,00:01:53,1.56%,402,$0.00

Day Index,Users
2/1/23,"1,580"
2/2/23,"2,046"
2/3/23,"1,940"
2/4/23,"1,626"
2/5/23,"1,147"
2/6/23,"1,800"
2/7/23,"1,647"
2/8/23,"1,537"
2/9/23,"1,533"
2/10/23,"1,909"
2/11/23,"1,448"
2/12/23,"1,141"
2/13/23,"2,194"
2/14/23,"1,822"
,"23,370"
