# ----------------------------------------
# Master
# Channels
# 20211201-20211215
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,251","5,116","7,994",19.99%,1.93,00:02:34,1.49%,119,$0.00
Direct,"4,293","3,960","5,292",47.58%,1.71,00:01:47,1.38%,73,$0.00
(Other),"2,687","2,538","2,992",75.43%,1.23,00:00:42,0.10%,3,$0.00
Display,"2,331","2,269","2,695",68.46%,1.07,00:00:14,0.04%,1,$0.00
Paid Search,"1,336","1,179","1,617",45.58%,1.76,00:01:42,1.98%,32,$0.00
Referral,412,317,500,32.40%,1.98,00:02:30,0.40%,2,$0.00
Social,192,172,234,30.34%,1.37,00:01:55,0.00%,0,$0.00
Email,175,98,256,38.28%,1.52,00:01:13,0.39%,1,$0.00
,"17,677","15,649","21,580",43.03%,1.65,00:01:44,1.07%,231,$0.00

Day Index,Users
12/1/21,"1,659"
12/2/21,"1,363"
12/3/21,"1,228"
12/4/21,826
12/5/21,950
12/6/21,"1,686"
12/7/21,"1,454"
12/8/21,"1,346"
12/9/21,"1,460"
12/10/21,"1,078"
12/11/21,818
12/12/21,933
12/13/21,"1,431"
12/14/21,"1,700"
12/15/21,"1,337"
,"19,269"
