# ----------------------------------------
# Master
# Channels
# 20220916-20220930
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"7,249","5,796","9,760",17.04%,2.04,00:02:45,1.55%,151,$0.00
Direct,"4,591","4,187","6,003",33.83%,1.77,00:02:02,1.38%,83,$0.00
Display,"2,660","2,629","2,695",93.95%,1.01,00:00:02,0.00%,0,$0.00
(Other),"1,616","1,445","1,919",35.64%,1.29,00:01:10,0.16%,3,$0.00
Paid Search,"1,299","1,141","1,470",44.90%,1.52,00:01:12,2.18%,32,$0.00
Referral,440,320,599,24.71%,2.89,00:03:29,1.50%,9,$0.00
Social,338,303,394,20.05%,1.33,00:01:43,0.51%,2,$0.00
Email,281,251,324,30.25%,1.63,00:02:31,0.00%,0,$0.00
,"18,474","16,072","23,164",34.08%,1.76,00:02:01,1.21%,280,$0.00

Day Index,Users
9/16/22,"1,559"
9/17/22,"1,258"
9/18/22,"1,048"
9/19/22,"1,742"
9/20/22,"1,476"
9/21/22,"1,486"
9/22/22,"1,520"
9/23/22,"1,204"
9/24/22,736
9/25/22,866
9/26/22,"1,753"
9/27/22,"1,687"
9/28/22,"1,534"
9/29/22,"1,646"
9/30/22,"1,058"
,"20,573"
