# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220821-20220827
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/,428,63.32%,271,9.35%,4.35,00:04:49,3.27%,14,$0.00
daniels.du.edu/burns-school/,260,75.77%,197,13.85%,1.92,00:01:54,0.38%,1,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,233,15.02%,35,0.00%,1.04,00:00:20,0.00%,0,$0.00
daniels.du.edu/burns-school/masters/,167,65.87%,110,38.32%,2.50,00:04:53,5.39%,9,$0.00
daniels.du.edu/business-information-analytics/masters/,150,65.33%,98,35.33%,2.27,00:04:01,3.33%,5,$0.00
daniels.du.edu/denver-mba/,148,77.70%,115,37.16%,2.89,00:04:48,5.41%,8,$0.00
daniels.du.edu/executive-phd/,118,77.97%,92,15.25%,3.28,00:03:44,5.08%,6,$0.00
daniels.du.edu/graduate-admissions/,112,39.29%,44,12.50%,2.75,00:05:59,24.11%,27,$0.00
(not set),106,9.43%,10,0.00%,0.00,00:00:19,1.89%,2,$0.00
daniels.du.edu/programs/mba-landing/,106,76.42%,81,46.23%,2.29,00:01:53,1.89%,2,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,101,91.09%,92,12.87%,1.07,00:02:12,0.00%,0,$0.00
daniels.du.edu/finance/masters/,96,78.12%,75,50.00%,1.64,00:02:54,2.08%,2,$0.00
daniels.du.edu/hospitality-management/,91,74.73%,68,35.16%,2.43,00:03:37,2.20%,2,$0.00
daniels.du.edu/executive-mba/,80,77.50%,62,48.75%,2.00,00:01:25,2.50%,2,$0.00
daniels.du.edu/marketing/masters/,76,72.37%,55,44.74%,2.70,00:04:29,3.95%,3,$0.00
daniels.du.edu/professional-mba/,71,69.01%,49,32.39%,2.46,00:03:41,2.82%,2,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,70,88.57%,62,17.14%,1.14,00:00:57,0.00%,0,$0.00
daniels.du.edu/management/masters/,63,76.19%,48,71.43%,1.68,00:01:25,1.59%,1,$0.00
daniels.du.edu/blog/du-field-notes-five-day-trips-for-your-next-getaway/,62,80.65%,50,11.29%,1.05,00:01:29,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,61,57.38%,35,21.31%,3.00,00:08:25,4.92%,3,$0.00
