# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220508-20220514
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/business-information-analytics/masters/,972,89.61%,871,54.94%,1.89,00:01:00,1.95%,19,$0.00
daniels.du.edu/digital-leadership/,828,77.42%,641,57.61%,1.39,00:00:53,1.69%,14,$0.00
daniels.du.edu/,639,57.90%,370,19.25%,3.42,00:03:44,5.01%,32,$0.00
daniels.du.edu/duvin-festival/,615,69.92%,430,9.76%,1.13,00:01:10,0.00%,0,$0.00
daniels.du.edu/burns-school/masters/,388,76.55%,297,68.81%,1.46,00:01:19,0.77%,3,$0.00
daniels.du.edu/programs/mba-landing/,357,82.91%,296,63.03%,1.62,00:00:59,3.08%,11,$0.00
daniels.du.edu/denver-mba/,252,76.59%,193,50.40%,2.63,00:03:54,2.78%,7,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,222,16.22%,36,0.00%,1.08,00:00:37,0.00%,0,$0.00
daniels.du.edu/finance/masters/,183,84.70%,155,66.67%,1.43,00:01:04,1.09%,2,$0.00
daniels.du.edu/executive-mba/,175,74.29%,130,64.00%,1.51,00:01:01,0.57%,1,$0.00
daniels.du.edu/marketing/masters/,169,85.80%,145,29.59%,1.72,00:01:26,0.59%,1,$0.00
daniels.du.edu/professional-mba/,137,64.23%,88,58.39%,1.66,00:01:54,2.92%,4,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipduthe-business-of-coffee/,129,55.81%,72,11.63%,1.14,00:00:51,0.00%,0,$0.00
daniels.du.edu/burns-school/,128,52.34%,67,14.06%,2.16,00:02:14,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,117,29.91%,35,36.75%,1.96,00:02:57,20.51%,24,$0.00
(not set),116,7.76%,9,0.00%,0.00,00:00:29,1.72%,2,$0.00
daniels.du.edu/management/masters/,113,88.50%,100,82.30%,1.27,00:00:32,0.00%,0,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,109,90.83%,99,18.35%,1.09,00:02:16,0.00%,0,$0.00
daniels.du.edu/executive-phd/,99,66.67%,66,23.23%,5.12,00:03:54,1.01%,1,$0.00
daniels.du.edu/hospitality-management/,77,77.92%,60,29.87%,2.49,00:02:44,1.30%,1,$0.00
daniels.du.edu/entrepreneurship/,73,32.88%,24,15.07%,3.15,00:04:57,0.00%,0,$0.00
daniels.du.edu/blog/accomplished-daniels-alumni-honored-by-management-department/,70,75.71%,53,24.29%,1.03,00:01:06,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,67,68.66%,46,34.33%,1.90,00:02:02,1.49%,1,$0.00
daniels.du.edu/blog/what-everyone-needs-to-know-about-negotiation/,62,56.45%,35,53.23%,1.08,00:00:52,0.00%,0,$0.00
daniels.du.edu/blog/why-community-commitment-isnt-optional/,62,75.81%,47,75.81%,1.11,00:01:39,0.00%,0,$0.00
daniels.du.edu/burns-school/support/collaboratory/,56,51.79%,29,16.07%,1.45,00:02:44,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,54,92.59%,50,59.26%,1.11,00:00:06,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,50,54.00%,27,44.00%,2.58,00:04:19,4.00%,2,$0.00
daniels.du.edu/blog/students-take-on-art-diversity-challenge/,49,69.39%,34,22.45%,1.10,00:00:48,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,47,89.36%,42,59.57%,1.11,00:00:15,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,47,36.17%,17,36.17%,1.26,00:01:37,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,46,56.52%,26,2.17%,1.93,00:02:42,2.17%,1,$0.00
daniels.du.edu/career-services/,44,61.36%,27,27.27%,1.57,00:02:35,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,40,95.00%,38,100.00%,1.00,00:00:00,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,40,92.50%,37,7.50%,1.12,00:00:45,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/israel-course/,39,71.79%,28,5.13%,1.03,00:00:36,0.00%,0,$0.00
daniels.du.edu/blog/qa-how-covid-lockdowns-and-financial-policies-affected-the-stock-market/,38,78.95%,30,78.95%,1.26,00:00:55,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,38,65.79%,25,13.16%,1.32,00:01:09,0.00%,0,$0.00
daniels.du.edu/blog/5-ways-to-reduce-stress-during-finals/,36,100.00%,36,16.67%,1.08,00:01:05,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,36,30.56%,11,8.33%,2.75,00:03:55,2.78%,1,$0.00
daniels.du.edu/accountancy/,34,52.94%,18,5.88%,2.59,00:03:14,8.82%,3,$0.00
daniels.du.edu/blog/qa-impact-of-the-coronavirus-pandemic-on-the-hospitality-industry/,34,79.41%,27,23.53%,1.09,00:02:18,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,34,58.82%,20,14.71%,1.85,00:04:26,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,33,66.67%,22,9.09%,2.00,00:05:30,0.00%,0,$0.00
daniels.du.edu/events/,32,43.75%,14,6.25%,1.34,00:01:47,0.00%,0,$0.00
daniels.du.edu/blog/pilot-program-expands-ethics-at-the-daniels-college-of-business/,31,83.87%,26,12.90%,1.06,00:01:12,0.00%,0,$0.00
daniels.du.edu/directory/,31,38.71%,12,6.45%,3.90,00:04:49,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/madden-challenge-spring-2022/,29,68.97%,20,41.38%,1.17,00:00:23,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,29,65.52%,19,10.34%,3.48,00:04:11,0.00%,0,$0.00
daniels.du.edu/directory/yashar-atefi/,28,35.71%,10,0.00%,1.57,00:06:18,0.00%,0,$0.00
daniels.du.edu/international-business/,28,64.29%,18,3.57%,2.07,00:02:56,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,27,100.00%,27,11.11%,1.07,00:01:29,0.00%,0,$0.00
daniels.du.edu/request-info-form/,27,66.67%,18,7.41%,1.63,00:02:13,3.70%,1,$0.00
