# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220724-20220730
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/,470,60.85%,286,6.17%,4.14,00:04:31,6.81%,32,$0.00
daniels.du.edu/blog/du-releases-2021-first-destination-outcomes-report/,235,83.40%,196,11.49%,1.14,00:01:33,0.00%,0,$0.00
daniels.du.edu/denver-mba/,163,75.46%,123,24.54%,2.55,00:02:41,7.98%,13,$0.00
daniels.du.edu/business-information-analytics/masters/,159,66.67%,106,39.62%,3.12,00:04:57,1.26%,2,$0.00
daniels.du.edu/burns-school/masters/,153,75.82%,116,48.37%,2.38,00:02:28,4.58%,7,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,120,24.17%,29,0.00%,1.18,00:01:28,0.00%,0,$0.00
daniels.du.edu/finance/masters/,115,64.35%,74,45.22%,2.27,00:03:50,1.74%,2,$0.00
daniels.du.edu/executive-phd/,104,73.08%,76,17.31%,2.78,00:02:48,4.81%,5,$0.00
daniels.du.edu/burns-school/,98,56.12%,55,10.20%,2.48,00:02:59,1.02%,1,$0.00
(not set),85,4.71%,4,0.00%,0.00,00:00:40,1.18%,1,$0.00
daniels.du.edu/graduate-admissions/,85,47.06%,40,27.06%,1.79,00:03:21,21.18%,18,$0.00
daniels.du.edu/professional-mba/,84,60.71%,51,30.95%,2.30,00:03:51,2.38%,2,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,75,94.67%,71,13.33%,1.15,00:02:20,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/,70,82.86%,58,62.86%,1.83,00:01:07,1.43%,1,$0.00
daniels.du.edu/digital-leadership/,63,36.51%,23,60.32%,1.57,00:01:57,1.59%,1,$0.00
daniels.du.edu/executive-mba/,63,55.56%,35,52.38%,1.98,00:03:46,0.00%,0,$0.00
daniels.du.edu/marketing/faculty-staff/,61,83.61%,51,1.64%,4.39,00:05:05,0.00%,0,$0.00
daniels.du.edu/marketing/masters/,59,86.44%,51,62.71%,1.63,00:01:02,0.00%,0,$0.00
daniels.du.edu/blog/accounting-graduates-selected-for-prestigious-board-positions/,58,77.59%,45,15.52%,1.21,00:00:56,0.00%,0,$0.00
daniels.du.edu/management/masters/,52,88.46%,46,73.08%,1.06,00:00:41,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,50,58.00%,29,12.00%,1.78,00:02:31,2.00%,1,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,49,97.96%,48,65.31%,1.00,00:00:27,0.00%,0,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,48,97.92%,47,6.25%,1.06,00:01:46,0.00%,0,$0.00
daniels.du.edu/career-services/,46,43.48%,20,21.74%,1.83,00:02:02,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,46,67.39%,31,26.09%,2.96,00:01:28,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,46,41.30%,19,19.57%,2.28,00:02:46,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,40,77.50%,31,0.00%,2.02,00:02:49,0.00%,0,$0.00
daniels.du.edu/executive-education/,37,45.95%,17,21.62%,2.51,00:06:02,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,36,58.33%,21,22.22%,2.39,00:02:58,2.78%,1,$0.00
daniels.du.edu/accountancy/masters/,33,78.79%,26,27.27%,2.61,00:03:07,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,32,93.75%,30,12.50%,1.03,00:01:11,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,30,100.00%,30,90.00%,1.07,00:01:39,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,29,48.28%,14,20.69%,1.34,00:01:16,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/,29,55.17%,16,24.14%,4.21,00:03:44,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,28,57.14%,16,14.29%,1.57,00:01:14,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,25,60.00%,15,4.00%,2.92,00:02:13,4.00%,1,$0.00
daniels.du.edu/directory/,25,24.00%,6,8.00%,4.16,00:04:52,0.00%,0,$0.00
daniels.du.edu/student-organizations/,25,68.00%,17,4.00%,1.44,00:02:47,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,23,73.91%,17,4.35%,1.57,00:02:13,0.00%,0,$0.00
daniels.du.edu/marketing/,23,82.61%,19,4.35%,2.96,00:01:52,4.35%,1,$0.00
