# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220605-20220611
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"1,204",71.84%,865,56.23%,1.73,00:00:49,1.16%,14,$0.00
daniels.du.edu/,560,60.18%,337,18.04%,3.20,00:03:15,4.46%,25,$0.00
daniels.du.edu/blog/with-yoda-like-wisdom-professors-impact-stretches-beyond/,438,83.33%,365,18.04%,1.18,00:01:54,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/masters/,411,87.83%,361,80.54%,1.33,00:00:49,0.49%,2,$0.00
daniels.du.edu/burns-school/masters/,348,83.33%,290,75.86%,1.33,00:01:03,1.15%,4,$0.00
daniels.du.edu/executive-mba/,299,81.27%,243,83.61%,1.19,00:00:36,0.33%,1,$0.00
daniels.du.edu/academic-hood/,276,48.19%,133,16.67%,1.30,00:03:15,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/,249,78.71%,196,74.70%,1.51,00:00:59,0.80%,2,$0.00
daniels.du.edu/denver-mba/,239,81.17%,194,60.67%,2.25,00:02:18,2.09%,5,$0.00
daniels.du.edu/executive-phd/,219,79.45%,174,52.05%,1.66,00:01:29,5.94%,13,$0.00
daniels.du.edu/marketing/masters/,212,87.74%,186,37.26%,1.43,00:01:10,2.36%,5,$0.00
daniels.du.edu/finance/masters/,202,87.62%,177,78.71%,1.40,00:00:45,0.99%,2,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,153,18.30%,28,0.00%,1.05,00:00:22,0.00%,0,$0.00
daniels.du.edu/management/masters/,151,94.70%,143,92.05%,1.20,00:00:23,0.66%,1,$0.00
(not set),123,7.32%,9,0.00%,0.00,00:00:22,1.63%,2,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,120,91.67%,110,19.17%,1.10,00:01:48,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,107,51.40%,55,30.84%,2.14,00:04:05,18.69%,20,$0.00
daniels.du.edu/blog/apartment-survey-shows-rent-increases-and-steady-vacancy/,102,95.10%,97,53.92%,1.08,00:00:28,0.00%,0,$0.00
daniels.du.edu/professional-mba/,102,64.71%,66,55.88%,1.77,00:01:53,4.90%,5,$0.00
daniels.du.edu/burns-school/,74,58.11%,43,9.46%,2.24,00:02:53,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,61,83.61%,51,29.51%,2.13,00:01:03,3.28%,2,$0.00
daniels.du.edu/blog/connections-help-grad-land-dream-consulting-job/,60,61.67%,37,21.67%,1.15,00:01:46,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,60,93.33%,56,20.00%,1.05,00:00:59,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,59,59.32%,35,22.03%,1.63,00:01:12,3.39%,2,$0.00
daniels.du.edu/accountancy/masters/,55,67.27%,37,45.45%,1.22,00:01:14,1.82%,1,$0.00
daniels.du.edu/burns-video-hub/,43,81.40%,35,65.12%,1.12,00:00:11,0.00%,0,$0.00
daniels.du.edu/blog/don-bacon-retires-from-daniels/,42,76.19%,32,42.86%,1.07,00:00:19,0.00%,0,$0.00
daniels.du.edu/blog/scaling-for-success-how-nonprofits-can-expand-their-reach/,40,75.00%,30,67.50%,1.02,00:00:34,0.00%,0,$0.00
daniels.du.edu/graduation-celebration/,40,70.00%,28,22.50%,1.82,00:00:42,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,40,75.00%,30,22.50%,1.90,00:02:13,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,37,51.35%,19,27.03%,1.68,00:02:31,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,37,43.24%,16,18.92%,2.35,00:02:24,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,35,94.29%,33,94.29%,1.03,00:00:35,0.00%,0,$0.00
daniels.du.edu/request-info-form/,35,45.71%,16,31.43%,2.14,00:01:52,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,33,66.67%,22,18.18%,2.42,00:04:30,3.03%,1,$0.00
daniels.du.edu/recruiters-companies/,31,64.52%,20,67.74%,1.45,00:01:19,3.23%,1,$0.00
daniels.du.edu/career-services/,30,43.33%,13,46.67%,1.43,00:02:00,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,28,85.71%,24,42.86%,1.54,00:00:55,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,28,67.86%,19,7.14%,1.36,00:01:01,7.14%,2,$0.00
daniels.du.edu/accountancy/bachelors/,27,55.56%,15,33.33%,2.00,00:02:15,0.00%,0,$0.00
daniels.du.edu/blog/barb-jackson-retires-from-burns-school/,26,73.08%,19,42.31%,1.15,00:02:26,0.00%,0,$0.00
daniels.du.edu/blog/summer-internship-goals-and-expectations-by-rebecca-damas/,25,92.00%,23,4.00%,1.08,00:01:57,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,25,48.00%,12,4.00%,1.56,00:02:30,4.00%,1,$0.00
daniels.du.edu/blog/10-questions-with-mac-clouse-whats-a-spac/,24,79.17%,19,20.83%,1.12,00:02:35,0.00%,0,$0.00
daniels.du.edu/directory/charles-dhanaraj/,24,66.67%,16,12.50%,1.08,00:02:05,0.00%,0,$0.00
daniels.du.edu/executive-education/,24,58.33%,14,0.00%,3.21,00:02:38,0.00%,0,$0.00
daniels.du.edu/blog/from-performing-to-planning-for-denver-mba-grad/,23,73.91%,17,4.35%,1.26,00:02:21,0.00%,0,$0.00
daniels.du.edu/directory/,23,30.43%,7,0.00%,4.00,00:04:06,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,22,54.55%,12,9.09%,1.91,00:01:51,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/insights-discovery/,22,59.09%,13,27.27%,1.14,00:00:25,0.00%,0,$0.00
