# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220710-20220716
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/,455,61.32%,279,13.85%,3.78,00:04:22,6.37%,29,$0.00
daniels.du.edu/business-information-analytics/masters/,265,88.68%,235,70.19%,1.49,00:01:23,0.75%,2,$0.00
daniels.du.edu/burns-school/masters/,237,76.79%,182,66.67%,1.51,00:01:43,1.27%,3,$0.00
daniels.du.edu/finance/masters/,206,80.58%,166,70.39%,1.51,00:01:10,3.88%,8,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,197,16.24%,32,0.00%,1.05,00:00:23,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/,190,80.00%,152,70.53%,1.45,00:00:54,0.00%,0,$0.00
daniels.du.edu/denver-mba/,165,75.76%,125,41.21%,2.16,00:01:53,1.82%,3,$0.00
daniels.du.edu/digital-leadership/,153,43.14%,66,62.75%,1.39,00:01:43,1.96%,3,$0.00
daniels.du.edu/marketing/masters/,140,87.14%,122,42.14%,1.26,00:00:40,0.00%,0,$0.00
daniels.du.edu/management/masters/,128,92.19%,118,84.38%,1.16,00:00:53,1.56%,2,$0.00
daniels.du.edu/graduate-admissions/,117,30.77%,36,31.62%,1.81,00:02:52,26.50%,31,$0.00
(not set),112,7.14%,8,0.00%,0.00,00:00:34,6.25%,7,$0.00
daniels.du.edu/burns-school/,106,59.43%,63,16.98%,1.95,00:02:50,1.89%,2,$0.00
daniels.du.edu/executive-phd/,102,72.55%,74,32.35%,2.49,00:02:24,4.90%,5,$0.00
daniels.du.edu/professional-mba/,100,69.00%,69,61.00%,1.43,00:01:25,2.00%,2,$0.00
daniels.du.edu/executive-mba/,84,70.24%,59,54.76%,1.73,00:01:51,1.19%,1,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,77,90.91%,70,20.78%,1.14,00:01:46,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,68,61.76%,42,26.47%,2.68,00:02:50,2.94%,2,$0.00
daniels.du.edu/blog/mba-alum-invests-in-students-success/,58,63.79%,37,15.52%,1.05,00:00:43,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,53,43.40%,23,9.43%,1.45,00:02:21,1.89%,1,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,48,100.00%,48,97.92%,1.02,00:00:08,0.00%,0,$0.00
daniels.du.edu/executive-education/,48,29.17%,14,22.92%,3.08,00:03:51,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,46,67.39%,31,39.13%,2.24,00:02:55,4.35%,2,$0.00
daniels.du.edu/blog/mean-business-executive/,41,85.37%,35,14.63%,1.20,00:01:09,0.00%,0,$0.00
daniels.du.edu/directory/shahram-amini/,38,31.58%,12,34.21%,1.21,00:03:51,0.00%,0,$0.00
daniels.du.edu/blog/du-field-notes-a-slice-of-heaven-best-pizza-places-in-denver/,37,70.27%,26,5.41%,1.27,00:02:33,0.00%,0,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,35,88.57%,31,11.43%,1.06,00:01:19,0.00%,0,$0.00
daniels.du.edu/blog/talent-acquisition/,35,62.86%,22,65.71%,1.26,00:04:02,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,34,44.12%,15,11.76%,1.59,00:04:19,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,34,67.65%,23,20.59%,2.35,00:03:02,0.00%,0,$0.00
daniels.du.edu/career-services/,32,50.00%,16,15.62%,2.19,00:01:46,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,31,90.32%,28,87.10%,1.00,00:00:01,0.00%,0,$0.00
daniels.du.edu/directory/yashar-atefi/,30,16.67%,5,3.33%,1.50,00:10:11,0.00%,0,$0.00
daniels.du.edu/directory/,29,24.14%,7,10.34%,4.76,00:06:18,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,28,75.00%,21,10.71%,1.25,00:01:47,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,28,92.86%,26,57.14%,1.39,00:01:12,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/finance-non-financial-managers/,28,64.29%,18,53.57%,1.43,00:01:42,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,28,89.29%,25,7.14%,2.07,00:02:34,3.57%,1,$0.00
daniels.du.edu/business-information-analytics/bachelors/,26,50.00%,13,15.38%,2.38,00:06:06,0.00%,0,$0.00
daniels.du.edu/blog/,25,16.00%,4,0.00%,3.12,00:04:58,0.00%,0,$0.00
daniels.du.edu/blog/electronic-word-of-mouth-what-marketers-need-to-know/,25,52.00%,13,56.00%,1.00,00:02:07,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,24,37.50%,9,20.83%,5.67,00:14:47,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,24,37.50%,9,12.50%,2.12,00:02:30,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/corporate-debt/,23,73.91%,17,30.43%,1.00,00:00:17,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,23,86.96%,20,34.78%,1.65,00:02:24,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/insights-discovery/,22,59.09%,13,27.27%,1.64,00:03:19,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,22,77.27%,17,13.64%,2.55,00:03:53,0.00%,0,$0.00
daniels.du.edu/sales-leadership-center/,22,90.91%,20,81.82%,1.59,00:00:32,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,20,75.00%,15,0.00%,2.50,00:04:08,5.00%,1,$0.00
daniels.du.edu/directory/charles-dhanaraj/,20,65.00%,13,5.00%,1.05,00:00:24,0.00%,0,$0.00
daniels.du.edu/request-info-form/,20,55.00%,11,10.00%,1.90,00:03:14,5.00%,1,$0.00
daniels.du.edu/undergraduate-programs/,20,70.00%,14,15.00%,1.95,00:01:18,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,19,89.47%,17,10.53%,1.00,00:00:22,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,19,63.16%,12,0.00%,2.58,00:02:37,5.26%,1,$0.00
daniels.du.edu/blog/restaurants-ambiance-service-important-food-quality/,17,82.35%,14,17.65%,1.00,00:01:23,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/accelerated-leadership-experience/,17,70.59%,12,29.41%,1.29,00:00:57,0.00%,0,$0.00
daniels.du.edu/marketing/,17,64.71%,11,5.88%,3.71,00:03:50,5.88%,1,$0.00
daniels.du.edu/about/,16,37.50%,6,6.25%,3.44,00:06:59,6.25%,1,$0.00
daniels.du.edu/blog/from-psychology-major-to-project-manager/,16,100.00%,16,0.00%,1.75,00:02:21,0.00%,0,$0.00
