# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220703-20220709
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/,431,61.95%,267,17.17%,2.96,00:03:05,5.34%,23,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,212,14.62%,31,0.00%,1.05,00:00:31,0.00%,0,$0.00
daniels.du.edu/burns-school/masters/,193,75.13%,145,59.07%,1.78,00:02:08,1.55%,3,$0.00
daniels.du.edu/business-information-analytics/masters/,165,76.36%,126,53.94%,1.92,00:02:57,1.82%,3,$0.00
daniels.du.edu/digital-leadership/,163,18.40%,30,77.91%,1.15,00:01:13,0.00%,0,$0.00
daniels.du.edu/denver-mba/,143,81.12%,116,41.96%,2.28,00:02:55,1.40%,2,$0.00
daniels.du.edu/finance/masters/,116,75.00%,87,51.72%,1.53,00:01:30,0.86%,1,$0.00
daniels.du.edu/executive-phd/,109,71.56%,78,35.78%,2.33,00:02:02,0.92%,1,$0.00
daniels.du.edu/graduate-admissions/,105,26.67%,28,24.76%,1.97,00:04:04,20.00%,21,$0.00
daniels.du.edu/burns-school/,102,63.73%,65,9.80%,2.30,00:02:55,2.94%,3,$0.00
daniels.du.edu/programs/mba-landing/,97,88.66%,86,82.47%,1.27,00:00:26,0.00%,0,$0.00
(not set),94,7.45%,7,0.00%,0.00,00:00:23,4.26%,4,$0.00
daniels.du.edu/professional-mba/,82,64.63%,53,34.15%,2.37,00:03:03,0.00%,0,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,80,95.00%,76,18.75%,1.05,00:01:29,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,78,69.23%,54,26.92%,1.86,00:02:38,0.00%,0,$0.00
daniels.du.edu/blog/du-field-notes-a-slice-of-heaven-best-pizza-places-in-denver/,76,77.63%,59,5.26%,1.07,00:00:36,0.00%,0,$0.00
daniels.du.edu/marketing/masters/,69,76.81%,53,34.78%,1.49,00:02:06,1.45%,1,$0.00
daniels.du.edu/retiring-faculty/,65,90.77%,59,6.15%,1.22,00:00:51,0.00%,0,$0.00
daniels.du.edu/executive-mba/,58,60.34%,35,51.72%,2.33,00:03:39,3.45%,2,$0.00
daniels.du.edu/management/masters/,55,90.91%,50,72.73%,1.67,00:01:03,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,44,84.09%,37,97.73%,1.00,00:00:01,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,40,72.50%,29,35.00%,2.10,00:05:12,5.00%,2,$0.00
daniels.du.edu/burns-video-hub/,38,92.11%,35,63.16%,1.13,00:00:17,0.00%,0,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,36,97.22%,35,8.33%,1.08,00:01:43,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,35,42.86%,15,20.00%,1.40,00:04:06,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,34,88.24%,30,11.76%,1.09,00:01:55,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,32,34.38%,11,21.88%,1.59,00:03:38,0.00%,0,$0.00
daniels.du.edu/blog/,31,54.84%,17,0.00%,2.13,00:03:32,0.00%,0,$0.00
daniels.du.edu/blog/daniels-alumnus-shares-extensive-asian-art-collection-love-of-history-in-first-public-exhibit/,31,80.65%,25,22.58%,1.13,00:01:00,0.00%,0,$0.00
daniels.du.edu/sales-leadership-center/,28,71.43%,20,64.29%,1.79,00:02:47,3.57%,1,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,27,59.26%,16,3.70%,2.67,00:03:13,3.70%,1,$0.00
daniels.du.edu/burns-school/bachelors/,26,61.54%,16,15.38%,1.35,00:01:37,0.00%,0,$0.00
daniels.du.edu/blog/liniger-center-on-franchising-will-be-a-new-resource-for-business-community/,25,52.00%,13,12.00%,1.20,00:00:44,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,25,76.00%,19,32.00%,1.80,00:02:34,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,23,69.57%,16,17.39%,2.13,00:01:59,0.00%,0,$0.00
daniels.du.edu/career-services/,22,54.55%,12,22.73%,2.14,00:04:22,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/sprints/,22,68.18%,15,54.55%,1.00,00:00:07,0.00%,0,$0.00
daniels.du.edu/blog/the-changing-face-of-corporate-debt/,21,38.10%,8,23.81%,2.19,00:04:25,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,21,85.71%,18,0.00%,2.33,00:05:27,4.76%,1,$0.00
daniels.du.edu/marketing/bachelors/,21,66.67%,14,9.52%,1.71,00:03:39,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/,20,25.00%,5,35.00%,1.45,00:01:44,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,20,95.00%,19,15.00%,2.40,00:02:27,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,20,75.00%,15,25.00%,1.55,00:03:19,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,19,84.21%,16,21.05%,1.21,00:01:08,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,19,78.95%,15,10.53%,1.68,00:00:43,0.00%,0,$0.00
daniels.du.edu/executive-education/,19,78.95%,15,26.32%,2.47,00:03:03,0.00%,0,$0.00
daniels.du.edu/executive-education/cpw-alumni-development-program-registration/,19,89.47%,17,0.00%,1.00,00:00:26,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,19,68.42%,13,0.00%,1.53,00:01:49,0.00%,0,$0.00
daniels.du.edu/accountancy/faculty-staff/,18,83.33%,15,33.33%,3.72,00:00:57,0.00%,0,$0.00
daniels.du.edu/student-organizations/,18,38.89%,7,0.00%,2.00,00:05:07,0.00%,0,$0.00
daniels.du.edu/blog/from-psychology-major-to-project-manager/,17,82.35%,14,11.76%,1.24,00:02:05,0.00%,0,$0.00
daniels.du.edu/blog/top-three-things-youll-gain-masters-finance/,17,82.35%,14,17.65%,1.12,00:00:53,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,17,76.47%,13,23.53%,1.06,00:00:47,0.00%,0,$0.00
daniels.du.edu/blog/from-lawyer-to-tech-ceo/,16,56.25%,9,81.25%,1.00,00:01:13,0.00%,0,$0.00
daniels.du.edu/directory/charles-dhanaraj/,16,81.25%,13,18.75%,1.06,00:00:24,0.00%,0,$0.00
daniels.du.edu/directory/joseph-havey/,16,18.75%,3,6.25%,1.06,00:01:00,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/corporate-debt/,16,81.25%,13,43.75%,1.06,00:00:43,0.00%,0,$0.00
daniels.du.edu/marketing/,16,75.00%,12,12.50%,4.19,00:05:23,6.25%,1,$0.00
daniels.du.edu/undergraduate-programs/,15,60.00%,9,13.33%,2.60,00:04:14,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/certificates/,14,57.14%,8,0.00%,2.36,00:03:38,7.14%,1,$0.00
daniels.du.edu/directory/,14,35.71%,5,0.00%,4.36,00:03:16,0.00%,0,$0.00
daniels.du.edu/directory/shahram-amini/,14,71.43%,10,7.14%,1.57,00:05:43,0.00%,0,$0.00
daniels.du.edu/accountancy/,13,76.92%,10,15.38%,3.38,00:06:58,0.00%,0,$0.00
daniels.du.edu/directory/barbara-jackson/,13,84.62%,11,38.46%,1.31,00:01:16,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/pioneer-venture-group/,13,69.23%,9,38.46%,1.23,00:02:28,0.00%,0,$0.00
