# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220717-20220723
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/finance/,12,75.00%,9,8.33%,3.42,00:02:12,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/events/,12,41.67%,5,8.33%,2.50,00:03:32,8.33%,1,$0.00
daniels.du.edu/hospitality-management/degree-requirements/,12,66.67%,8,25.00%,1.25,00:02:26,0.00%,0,$0.00
daniels.du.edu/blog/restaurants-ambiance-service-important-food-quality/,11,81.82%,9,9.09%,1.00,00:00:20,0.00%,0,$0.00
daniels.du.edu/career-services/services-resources/,11,27.27%,3,9.09%,3.45,00:06:26,0.00%,0,$0.00
daniels.du.edu/danielsparking/,11,27.27%,3,0.00%,2.27,00:02:07,0.00%,0,$0.00
daniels.du.edu/directory/andrew-schnackenberg/,11,72.73%,8,9.09%,1.64,00:01:42,0.00%,0,$0.00
daniels.du.edu/directory/john-buffington/,11,100.00%,11,0.00%,1.00,00:00:39,0.00%,0,$0.00
daniels.du.edu/directory/sung-soo-kim/,11,63.64%,7,27.27%,1.45,00:01:54,0.00%,0,$0.00
daniels.du.edu/graduate-certificates/,11,63.64%,7,9.09%,2.27,00:04:40,0.00%,0,$0.00
daniels.du.edu/management/bachelors/,11,63.64%,7,9.09%,4.27,00:03:31,0.00%,0,$0.00
daniels.du.edu/programs/,11,90.91%,10,45.45%,1.73,00:01:58,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/admission/,11,54.55%,6,0.00%,2.09,00:05:22,0.00%,0,$0.00
daniels.du.edu/about/,10,10.00%,1,10.00%,1.30,00:01:32,0.00%,0,$0.00
daniels.du.edu/accountancy/faculty-staff/,10,60.00%,6,50.00%,4.10,00:04:12,0.00%,0,$0.00
daniels.du.edu/blog/8-questions-ask-business-school-visit/,10,100.00%,10,20.00%,1.00,00:00:21,0.00%,0,$0.00
daniels.du.edu/blog/emotions-have-surprising-influence-on-leadership-and-life/,10,30.00%,3,20.00%,1.10,00:00:31,0.00%,0,$0.00
daniels.du.edu/blog/how-to-manage-your-time-in-an-mba-program/,10,100.00%,10,10.00%,1.00,00:00:40,0.00%,0,$0.00
daniels.du.edu/blog/the-changing-face-of-corporate-debt/,10,50.00%,5,30.00%,1.10,00:01:12,0.00%,0,$0.00
daniels.du.edu/blog/undergraduate-business-program-named-no-38-in-nation/,10,60.00%,6,40.00%,1.90,00:03:33,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/,10,60.00%,6,20.00%,1.80,00:03:10,0.00%,0,$0.00
daniels.du.edu/continuing-education/,10,60.00%,6,10.00%,2.20,00:01:41,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,10,80.00%,8,10.00%,1.50,00:01:42,0.00%,0,$0.00
,"6,205",67.33%,"4,178",27.61%,1.95,00:02:27,1.42%,88,$0.00

Day Index,Sessions
7/17/22,591
7/18/22,886
7/19/22,"1,110"
7/20/22,"1,082"
7/21/22,"1,157"
7/22/22,942
7/23/22,437
,"6,205"
