# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220717-20220723
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/,490,59.80%,293,15.51%,3.64,00:04:23,4.69%,23,$0.00
daniels.du.edu/burns-school/masters/,213,69.95%,149,51.17%,1.96,00:01:53,3.29%,7,$0.00
daniels.du.edu/business-information-analytics/masters/,193,78.76%,152,55.44%,2.07,00:02:33,1.04%,2,$0.00
daniels.du.edu/blog/accounting-graduates-selected-for-prestigious-board-positions/,182,79.12%,144,10.99%,1.23,00:01:30,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/,177,85.31%,151,73.45%,1.79,00:01:34,1.69%,3,$0.00
daniels.du.edu/finance/masters/,165,75.15%,124,61.82%,1.75,00:02:07,1.82%,3,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,155,18.06%,28,0.00%,1.09,00:01:02,0.00%,0,$0.00
daniels.du.edu/denver-mba/,144,84.03%,121,39.58%,2.58,00:02:51,2.78%,4,$0.00
daniels.du.edu/marketing/masters/,124,81.45%,101,54.03%,1.39,00:01:00,0.00%,0,$0.00
daniels.du.edu/burns-school/,113,67.26%,76,17.70%,2.08,00:02:55,1.77%,2,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,105,95.24%,100,22.86%,1.08,00:01:56,0.00%,0,$0.00
daniels.du.edu/executive-phd/,104,70.19%,73,18.27%,3.56,00:04:50,1.92%,2,$0.00
daniels.du.edu/blog/hustle-for-every-opportunity/,101,75.25%,76,21.78%,1.22,00:01:25,0.00%,0,$0.00
daniels.du.edu/digital-leadership/,92,27.17%,25,70.65%,1.48,00:01:15,1.09%,1,$0.00
daniels.du.edu/executive-mba/,89,68.54%,61,65.17%,1.70,00:01:44,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,88,45.45%,40,27.27%,2.34,00:04:30,19.32%,17,$0.00
(not set),84,14.29%,12,0.00%,0.00,00:00:22,4.76%,4,$0.00
daniels.du.edu/professional-mba/,83,69.88%,58,56.63%,1.70,00:02:05,1.20%,1,$0.00
daniels.du.edu/undergraduate-programs/academics/,73,58.90%,43,24.66%,2.25,00:02:54,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,64,71.88%,46,28.12%,2.11,00:02:54,3.12%,2,$0.00
daniels.du.edu/management/masters/,61,88.52%,54,75.41%,1.48,00:00:49,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,52,44.23%,23,26.92%,1.58,00:02:09,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,45,80.00%,36,31.11%,3.24,00:05:01,4.44%,2,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,43,97.67%,42,4.65%,1.12,00:01:22,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,41,65.85%,27,43.90%,1.61,00:01:19,0.00%,0,$0.00
daniels.du.edu/recruiters-companies/,39,84.62%,33,76.92%,1.15,00:00:08,0.00%,0,$0.00
daniels.du.edu/career-services/,36,55.56%,20,19.44%,2.14,00:02:30,2.78%,1,$0.00
daniels.du.edu/directory/shahram-amini/,36,44.44%,16,41.67%,1.39,00:04:58,0.00%,0,$0.00
daniels.du.edu/executive-education/,35,45.71%,16,25.71%,2.97,00:05:05,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,34,52.94%,18,23.53%,1.97,00:01:54,0.00%,0,$0.00
daniels.du.edu/directory/charles-dhanaraj/,33,69.70%,23,15.15%,1.18,00:01:40,0.00%,0,$0.00
daniels.du.edu/blog/,32,9.38%,3,0.00%,7.78,00:13:12,0.00%,0,$0.00
daniels.du.edu/student-organizations/,30,53.33%,16,0.00%,1.30,00:01:07,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,29,82.76%,24,86.21%,1.00,00:00:01,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,28,82.14%,23,10.71%,1.04,00:01:34,0.00%,0,$0.00
daniels.du.edu/directory/,28,14.29%,4,0.00%,4.64,00:07:06,0.00%,0,$0.00
daniels.du.edu/blog/lessons-from-a-first-time-self-published-author/,27,51.85%,14,29.63%,1.07,00:01:04,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,27,100.00%,27,18.52%,1.04,00:01:13,0.00%,0,$0.00
daniels.du.edu/blog/self-care-in-startups/,26,88.46%,23,46.15%,1.27,00:02:58,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/,25,64.00%,16,4.00%,3.80,00:04:25,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,22,54.55%,12,18.18%,5.95,00:05:18,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/certificates/,22,63.64%,14,18.18%,1.91,00:04:27,4.55%,1,$0.00
daniels.du.edu/executive-education/workshops/insights-discovery/,22,54.55%,12,18.18%,1.36,00:01:19,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/public-safety-leadership/,22,72.73%,16,31.82%,1.05,00:00:28,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,22,81.82%,18,27.27%,2.91,00:02:49,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,22,63.64%,14,9.09%,2.50,00:04:02,0.00%,0,$0.00
daniels.du.edu/sales-leadership-center/,21,61.90%,13,66.67%,1.33,00:02:53,0.00%,0,$0.00
daniels.du.edu/blog/from-psychology-major-to-project-manager/,20,90.00%,18,20.00%,1.00,00:00:53,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,20,60.00%,12,15.00%,1.95,00:01:14,0.00%,0,$0.00
daniels.du.edu/directory/yashar-atefi/,20,25.00%,5,5.00%,1.30,00:04:22,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,20,80.00%,16,60.00%,1.55,00:00:42,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,20,90.00%,18,10.00%,1.90,00:04:09,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,20,75.00%,15,0.00%,2.70,00:04:34,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/garage/,19,78.95%,15,52.63%,1.89,00:01:46,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,18,100.00%,18,100.00%,1.00,00:00:00,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,18,61.11%,11,11.11%,5.28,00:07:57,0.00%,0,$0.00
daniels.du.edu/request-info-form/,18,50.00%,9,5.56%,3.61,00:04:15,11.11%,2,$0.00
daniels.du.edu/blog/electronic-word-of-mouth-what-marketers-need-to-know/,17,52.94%,9,52.94%,1.06,00:01:47,0.00%,0,$0.00
daniels.du.edu/blog/impact-of-the-coronavirus-pandemic-on-marketing/,17,64.71%,11,35.29%,1.18,00:01:55,0.00%,0,$0.00
daniels.du.edu/blog/top-three-things-youll-gain-masters-finance/,17,94.12%,16,5.88%,1.00,00:01:55,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/sprints/,17,64.71%,11,58.82%,1.18,00:00:33,0.00%,0,$0.00
daniels.du.edu/international-business/,17,70.59%,12,0.00%,2.35,00:05:44,0.00%,0,$0.00
daniels.du.edu/directory/lijia-karen-xie/,16,100.00%,16,0.00%,1.19,00:01:14,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/base-camp/,16,87.50%,14,62.50%,1.12,00:05:08,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/contact-us/,16,31.25%,5,12.50%,1.44,00:00:55,0.00%,0,$0.00
daniels.du.edu/ocm/,16,6.25%,1,6.25%,4.56,00:06:03,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/,15,26.67%,4,53.33%,1.73,00:02:13,0.00%,0,$0.00
daniels.du.edu/accountancy/,14,57.14%,8,0.00%,3.07,00:04:43,0.00%,0,$0.00
daniels.du.edu/blog/how-to-use-coso-to-assess-it-controls/,14,85.71%,12,7.14%,1.07,00:00:53,0.00%,0,$0.00
daniels.du.edu/cibic/,14,35.71%,5,28.57%,1.36,00:00:31,0.00%,0,$0.00
daniels.du.edu/directory/corey-ciocchetti/,14,78.57%,11,14.29%,1.14,00:00:49,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,14,78.57%,11,21.43%,1.29,00:00:29,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,14,92.86%,13,50.00%,1.21,00:00:19,0.00%,0,$0.00
daniels.du.edu/denver-mba/curriculum/,13,38.46%,5,15.38%,1.62,00:01:41,7.69%,1,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/bailey-family-enterprise-speaker-series/,13,69.23%,9,0.00%,1.08,00:01:09,0.00%,0,$0.00
daniels.du.edu/voe/,13,46.15%,6,15.38%,1.69,00:01:58,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/finance-non-financial-managers/,12,75.00%,9,41.67%,1.33,00:00:34,0.00%,0,$0.00
