# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220417-20220423
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"2,733",77.02%,"2,105",72.45%,1.32,00:00:39,0.51%,14,$0.00
daniels.du.edu/,526,50.38%,265,23.19%,3.15,00:03:49,3.42%,18,$0.00
daniels.du.edu/burns-school/masters/,430,73.72%,317,71.63%,1.38,00:01:13,0.23%,1,$0.00
daniels.du.edu/programs/mba-landing/,417,80.10%,334,82.73%,1.26,00:00:36,0.96%,4,$0.00
daniels.du.edu/business-information-analytics/masters/,261,77.01%,201,65.13%,1.53,00:01:59,3.07%,8,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,250,14.40%,36,0.00%,1.18,00:00:54,0.00%,0,$0.00
daniels.du.edu/denver-mba/,245,72.24%,177,57.55%,2.03,00:02:13,6.94%,17,$0.00
daniels.du.edu/finance/masters/,243,83.95%,204,67.08%,1.44,00:01:11,1.23%,3,$0.00
daniels.du.edu/blog/daniels-team-utilizes-ski-industry-knowledge-to-win-national-diversity-case-competition/,242,69.42%,168,35.12%,1.11,00:01:13,0.00%,0,$0.00
daniels.du.edu/duvin-festival/,189,52.91%,100,11.11%,1.17,00:01:20,0.00%,0,$0.00
daniels.du.edu/marketing/masters/,171,80.70%,138,32.16%,1.56,00:02:13,3.51%,6,$0.00
daniels.du.edu/executive-mba/,158,68.35%,108,70.25%,1.51,00:01:53,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,151,32.45%,49,31.79%,1.88,00:02:14,17.88%,27,$0.00
daniels.du.edu/management/masters/,147,80.95%,119,80.95%,1.39,00:01:20,1.36%,2,$0.00
(not set),137,9.49%,13,0.00%,0.00,00:00:51,2.19%,3,$0.00
daniels.du.edu/programs/mba-landing/?utm_licrid=160079664,130,77.69%,101,94.62%,1.11,00:00:25,0.00%,0,$0.00
daniels.du.edu/burns-school/rebe-landing/,124,59.68%,74,57.26%,1.06,00:00:22,0.00%,0,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,116,82.76%,96,25.86%,1.07,00:01:53,0.00%,0,$0.00
daniels.du.edu/burns-school/,111,68.47%,76,18.92%,2.34,00:02:28,2.70%,3,$0.00
daniels.du.edu/professional-mba/,106,66.98%,71,58.49%,1.63,00:02:16,0.94%,1,$0.00
daniels.du.edu/accountancy/masters/,103,68.93%,71,53.40%,1.74,00:01:29,1.94%,2,$0.00
daniels.du.edu/executive-phd/,103,61.17%,63,12.62%,3.62,00:04:28,6.80%,7,$0.00
daniels.du.edu/blog/daniels-online-mba-climbs-23-spots-in-fortunes-ranking/,98,80.61%,79,11.22%,1.08,00:00:34,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,86,66.28%,57,15.12%,3.24,00:04:29,2.33%,2,$0.00
daniels.du.edu/entrepreneurship/,80,36.25%,29,15.00%,2.88,00:04:05,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/?utm_licrid=143429644,79,77.22%,61,91.14%,1.04,00:00:16,0.00%,0,$0.00
daniels.du.edu/blog/5-ways-to-reduce-stress-during-finals/,78,92.31%,72,14.10%,1.08,00:01:06,0.00%,0,$0.00
daniels.du.edu/career-services/,70,52.86%,37,34.29%,1.99,00:01:51,0.00%,0,$0.00
daniels.du.edu/programs/,70,80.00%,56,52.86%,1.26,00:00:44,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,59,52.54%,31,30.51%,1.36,00:01:22,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,58,62.07%,36,22.41%,1.93,00:03:00,0.00%,0,$0.00
daniels.du.edu/programs/graduate-programs-landing/,55,52.73%,29,9.09%,2.75,00:02:15,5.45%,3,$0.00
daniels.du.edu/business-information-analytics/bia-landing/,51,90.20%,46,29.41%,1.02,00:00:03,0.00%,0,$0.00
daniels.du.edu/blog/qa-whats-happening-with-the-housing-market/,49,77.55%,38,14.29%,1.06,00:02:24,0.00%,0,$0.00
daniels.du.edu/events/,49,46.94%,23,18.37%,1.49,00:02:15,0.00%,0,$0.00
daniels.du.edu/blog/alex-seidel-guest-chef-at-the-2022-du-vin-festival/,48,56.25%,27,31.25%,1.10,00:01:02,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/pioneer-venture-group/,46,39.13%,18,41.30%,1.09,00:01:59,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/israel-course/,45,51.11%,23,15.56%,1.36,00:01:30,0.00%,0,$0.00
daniels.du.edu/directory/lora-louise-broady/,45,97.78%,44,2.22%,1.07,00:00:38,0.00%,0,$0.00
daniels.du.edu/iee/programs/elevate-ethics/,45,51.11%,23,46.67%,1.13,00:02:31,0.00%,0,$0.00
daniels.du.edu/blog/conscious-communication-by-keeley-hunter/,44,52.27%,23,22.73%,1.07,00:03:34,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/?utm_licrid=160079674,44,72.73%,32,88.64%,1.05,00:00:27,0.00%,0,$0.00
