# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220501-20220507
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,723,74.69%,540,61.00%,1.50,00:01:06,1.80%,13,$0.00
daniels.du.edu/business-information-analytics/masters/,598,87.12%,521,54.18%,1.88,00:01:19,3.01%,18,$0.00
daniels.du.edu/,564,54.79%,309,20.74%,3.07,00:03:12,3.55%,20,$0.00
daniels.du.edu/burns-school/masters/,396,73.48%,291,66.41%,1.62,00:01:44,1.77%,7,$0.00
daniels.du.edu/denver-mba/,271,76.01%,206,60.89%,2.08,00:02:15,1.85%,5,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,250,14.00%,35,0.00%,1.06,00:00:40,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/,242,78.10%,189,61.98%,1.78,00:01:19,2.07%,5,$0.00
daniels.du.edu/finance/masters/,202,82.18%,166,72.28%,1.38,00:00:54,2.48%,5,$0.00
daniels.du.edu/marketing/masters/,196,90.31%,177,37.76%,1.30,00:01:11,0.51%,1,$0.00
daniels.du.edu/duvin-festival/,179,60.89%,109,8.94%,1.16,00:00:46,0.00%,0,$0.00
daniels.du.edu/management/masters/,159,85.53%,136,80.50%,1.30,00:01:04,1.89%,3,$0.00
(not set),152,3.95%,6,0.00%,0.00,00:00:32,1.97%,3,$0.00
daniels.du.edu/accountancy/masters/,148,84.46%,125,70.95%,1.29,00:01:30,2.03%,3,$0.00
daniels.du.edu/burns-school/,130,52.31%,68,19.23%,1.88,00:02:15,0.00%,0,$0.00
daniels.du.edu/executive-mba/,129,72.09%,93,67.44%,1.65,00:01:18,0.78%,1,$0.00
daniels.du.edu/blog/10-questions-with-mac-clouse-whats-a-spac/,127,76.38%,97,53.54%,1.03,00:01:39,0.00%,0,$0.00
daniels.du.edu/executive-phd/,123,69.11%,85,19.51%,2.93,00:04:02,4.88%,6,$0.00
daniels.du.edu/blog/accomplished-daniels-alumni-honored-by-management-department/,119,82.35%,98,20.17%,1.11,00:01:23,0.00%,0,$0.00
daniels.du.edu/professional-mba/,119,66.39%,79,45.38%,2.13,00:01:42,5.04%,6,$0.00
daniels.du.edu/graduate-admissions/,117,37.61%,44,23.93%,1.71,00:02:51,25.64%,30,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,112,94.64%,106,18.75%,1.08,00:01:58,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipduthe-business-of-coffee/,79,65.82%,52,6.33%,1.11,00:01:09,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,78,26.92%,21,12.82%,2.31,00:02:42,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,74,70.27%,52,28.38%,2.50,00:03:39,0.00%,0,$0.00
daniels.du.edu/blog/5-ways-to-reduce-stress-during-finals/,70,92.86%,65,10.00%,1.10,00:01:39,0.00%,0,$0.00
daniels.du.edu/blog/virtual-reality-comes-to-life-in-the-classroom/,67,74.63%,50,44.78%,1.16,00:00:49,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,63,95.24%,60,76.19%,1.06,00:00:09,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,57,43.86%,25,17.54%,1.39,00:02:19,0.00%,0,$0.00
daniels.du.edu/events/,54,61.11%,33,11.11%,1.44,00:01:19,0.00%,0,$0.00
daniels.du.edu/admit-weekend/,52,40.38%,21,28.85%,1.17,00:01:15,1.92%,1,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,52,67.31%,35,15.38%,1.79,00:02:23,3.85%,2,$0.00
daniels.du.edu/blog/mean-business-executive/,49,91.84%,45,16.33%,1.08,00:01:26,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-startup-marketing-101/,48,43.75%,21,31.25%,1.10,00:01:44,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,45,35.56%,16,11.11%,2.02,00:02:01,0.00%,0,$0.00
daniels.du.edu/blog/eleven-questions-with-joshua-ross-cryptocurrency-blockchain/,44,45.45%,20,45.45%,1.14,00:02:37,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,38,65.79%,25,18.42%,1.32,00:02:09,0.00%,0,$0.00
daniels.du.edu/blog/apartment-survey-shows-rent-increases-and-steady-vacancy/,36,61.11%,22,30.56%,1.14,00:00:52,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,35,94.29%,33,97.14%,1.03,00:00:34,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/,35,65.71%,23,20.00%,2.94,00:03:03,2.86%,1,$0.00
daniels.du.edu/finance/bachelors/,34,52.94%,18,8.82%,2.03,00:02:54,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,33,87.88%,29,0.00%,1.27,00:02:47,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,33,60.61%,20,3.03%,2.00,00:01:16,0.00%,0,$0.00
daniels.du.edu/career-services/,31,38.71%,12,22.58%,2.68,00:02:18,0.00%,0,$0.00
daniels.du.edu/blog/pilot-program-expands-ethics-at-the-daniels-college-of-business/,30,80.00%,24,6.67%,1.30,00:02:37,0.00%,0,$0.00
daniels.du.edu/about/,29,31.03%,9,10.34%,2.00,00:01:45,13.79%,4,$0.00
daniels.du.edu/blog/what-everyone-needs-to-know-about-negotiation/,29,48.28%,14,34.48%,1.17,00:02:51,0.00%,0,$0.00
daniels.du.edu/finance/,29,55.17%,16,3.45%,2.93,00:02:30,0.00%,0,$0.00
daniels.du.edu/danielsparking/,28,7.14%,2,3.57%,2.21,00:02:15,0.00%,0,$0.00
daniels.du.edu/directory/,28,17.86%,5,0.00%,2.89,00:03:53,0.00%,0,$0.00
daniels.du.edu/executive-education/,28,67.86%,19,17.86%,2.36,00:03:34,3.57%,1,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,28,89.29%,25,46.43%,1.36,00:00:49,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,27,51.85%,14,7.41%,2.26,00:03:10,3.70%,1,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,27,74.07%,20,14.81%,4.04,00:04:47,0.00%,0,$0.00
daniels.du.edu/blog/qa-how-covid-lockdowns-and-financial-policies-affected-the-stock-market/,26,65.38%,17,34.62%,1.19,00:01:16,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,25,72.00%,18,0.00%,1.44,00:02:18,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,25,76.00%,19,0.00%,1.60,00:02:55,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,24,58.33%,14,0.00%,2.21,00:02:14,0.00%,0,$0.00
daniels.du.edu/blog/daniels-team-utilizes-ski-industry-knowledge-to-win-national-diversity-case-competition/,24,75.00%,18,29.17%,1.54,00:02:59,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/events/,24,0.00%,0,0.00%,2.25,00:02:31,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,24,54.17%,13,20.83%,1.33,00:02:32,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,24,54.17%,13,29.17%,1.75,00:01:52,4.17%,1,$0.00
