# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220807-20220813
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/,417,58.03%,242,8.63%,3.69,00:04:07,5.52%,23,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,231,17.32%,40,0.43%,1.06,00:00:39,0.00%,0,$0.00
daniels.du.edu/denver-mba/,174,72.99%,127,37.93%,2.59,00:03:32,6.90%,12,$0.00
daniels.du.edu/burns-school/masters/,169,75.15%,127,48.52%,1.95,00:02:44,0.59%,1,$0.00
daniels.du.edu/business-information-analytics/masters/,164,72.56%,119,51.83%,2.68,00:03:40,3.66%,6,$0.00
daniels.du.edu/burns-school/,160,48.75%,78,14.38%,1.97,00:02:23,1.25%,2,$0.00
daniels.du.edu/finance/masters/,124,66.13%,82,41.13%,2.33,00:03:50,4.03%,5,$0.00
daniels.du.edu/programs/mba-landing/,113,79.65%,90,61.06%,1.96,00:01:39,0.88%,1,$0.00
daniels.du.edu/executive-phd/,111,76.58%,85,22.52%,3.27,00:04:11,2.70%,3,$0.00
(not set),106,16.98%,18,0.00%,0.00,00:02:01,2.83%,3,$0.00
daniels.du.edu/marketing/masters/,102,90.20%,92,54.90%,1.55,00:01:51,3.92%,4,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,89,88.76%,79,28.09%,1.09,00:01:03,0.00%,0,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,88,88.64%,78,10.23%,1.03,00:01:31,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,87,39.08%,34,16.09%,2.00,00:03:48,33.33%,29,$0.00
daniels.du.edu/digital-leadership/,77,72.73%,56,80.52%,1.19,00:00:34,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,76,76.32%,58,34.21%,2.14,00:02:29,1.32%,1,$0.00
daniels.du.edu/management/masters/,76,85.53%,65,78.95%,1.37,00:01:25,1.32%,1,$0.00
daniels.du.edu/professional-mba/,72,72.22%,52,38.89%,2.19,00:02:47,2.78%,2,$0.00
daniels.du.edu/executive-mba/,68,72.06%,49,48.53%,2.74,00:03:09,4.41%,3,$0.00
daniels.du.edu/accountancy/masters/,59,64.41%,38,28.81%,2.29,00:04:53,6.78%,4,$0.00
daniels.du.edu/ocm/brand-toolkit/,45,46.67%,21,28.89%,1.44,00:01:37,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,44,50.00%,22,6.82%,1.82,00:03:06,4.55%,2,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,43,93.02%,40,97.67%,1.02,00:00:18,0.00%,0,$0.00
daniels.du.edu/career-services/,43,34.88%,15,2.33%,1.77,00:02:23,4.65%,2,$0.00
daniels.du.edu/blog/mean-business-executive/,40,92.50%,37,20.00%,1.00,00:01:14,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/public-safety-leadership/,33,54.55%,18,33.33%,1.55,00:01:44,6.06%,2,$0.00
daniels.du.edu/directory/,30,23.33%,7,0.00%,4.47,00:10:03,0.00%,0,$0.00
daniels.du.edu/marketing/,29,62.07%,18,0.00%,4.93,00:06:29,3.45%,1,$0.00
daniels.du.edu/burns-video-hub/,28,78.57%,22,64.29%,1.07,00:00:03,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,26,53.85%,14,34.62%,2.65,00:03:18,0.00%,0,$0.00
daniels.du.edu/blog/du-releases-2021-first-destination-outcomes-report/,25,92.00%,23,16.00%,1.00,00:01:01,0.00%,0,$0.00
daniels.du.edu/blog/philanthropy-in-2022-propels-du-forward/,25,60.00%,15,24.00%,1.04,00:01:51,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,25,72.00%,18,0.00%,1.92,00:02:01,0.00%,0,$0.00
daniels.du.edu/student-organizations/,25,32.00%,8,16.00%,1.20,00:01:21,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,24,62.50%,15,8.33%,2.04,00:06:18,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,23,69.57%,16,4.35%,2.87,00:04:00,8.70%,2,$0.00
daniels.du.edu/executive-education/cpw-alumni-development-program-registration/,23,73.91%,17,0.00%,1.00,00:00:46,0.00%,0,$0.00
daniels.du.edu/international-business/,23,82.61%,19,17.39%,1.22,00:01:13,0.00%,0,$0.00
daniels.du.edu/marketing/faculty-staff/,23,73.91%,17,4.35%,6.00,00:07:15,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/,23,78.26%,18,30.43%,3.26,00:03:21,0.00%,0,$0.00
daniels.du.edu/blog/denver-tracks-with-national-trend-rents-keep-climbing/,22,90.91%,20,18.18%,1.05,00:01:16,0.00%,0,$0.00
daniels.du.edu/blog/from-psychology-major-to-project-manager/,22,100.00%,22,18.18%,1.09,00:01:13,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,22,90.91%,20,9.09%,1.00,00:01:01,0.00%,0,$0.00
