# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220626-20220702
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"3,413",73.28%,"2,501",63.11%,1.33,00:00:49,1.44%,49,$0.00
daniels.du.edu/,470,58.09%,273,16.38%,3.83,00:03:42,5.11%,24,$0.00
daniels.du.edu/retiring-faculty/,449,88.86%,399,2.67%,1.61,00:01:13,0.00%,0,$0.00
daniels.du.edu/burns-school/masters/,434,83.18%,361,76.96%,1.29,00:00:53,1.15%,5,$0.00
daniels.du.edu/executive-mba/,294,76.53%,225,73.13%,1.55,00:01:13,1.36%,4,$0.00
daniels.du.edu/business-information-analytics/masters/,284,73.94%,210,58.80%,1.81,00:02:22,2.46%,7,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,230,16.09%,37,0.00%,1.07,00:00:53,0.00%,0,$0.00
daniels.du.edu/denver-mba/,227,71.81%,163,44.49%,2.37,00:02:52,4.41%,10,$0.00
daniels.du.edu/executive-phd/,205,82.44%,169,49.27%,1.78,00:01:51,2.44%,5,$0.00
daniels.du.edu/programs/mba-landing/,163,78.53%,128,72.39%,1.37,00:01:15,5.52%,9,$0.00
daniels.du.edu/finance/masters/,144,76.39%,110,68.75%,1.67,00:01:46,1.39%,2,$0.00
daniels.du.edu/graduate-admissions/,133,33.08%,44,30.08%,2.24,00:05:08,15.79%,21,$0.00
daniels.du.edu/marketing/masters/,131,86.26%,113,47.33%,1.25,00:00:42,0.00%,0,$0.00
(not set),114,5.26%,6,0.00%,0.00,00:00:28,8.77%,10,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,107,87.85%,94,22.43%,1.06,00:01:38,0.00%,0,$0.00
daniels.du.edu/executive-mba/?utm_licrid=177531654,107,90.65%,97,87.85%,1.10,00:00:42,0.00%,0,$0.00
daniels.du.edu/professional-mba/,96,68.75%,66,47.92%,1.81,00:02:49,0.00%,0,$0.00
daniels.du.edu/management/masters/,92,85.87%,79,85.87%,1.30,00:01:17,1.09%,1,$0.00
daniels.du.edu/blog/liniger-center-on-franchising-will-be-a-new-resource-for-business-community/,91,73.63%,67,19.78%,1.19,00:01:03,0.00%,0,$0.00
daniels.du.edu/burns-school/,85,61.18%,52,17.65%,2.19,00:02:37,0.00%,0,$0.00
daniels.du.edu/executive-education/cpw-alumni-development-program-registration/,73,82.19%,60,1.37%,1.01,00:00:44,0.00%,0,$0.00
daniels.du.edu/blog/new-high-tech-collaboratory-positions-students-for-success/,68,70.59%,48,44.12%,1.62,00:01:57,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,60,46.67%,28,33.33%,1.77,00:01:53,3.33%,2,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,60,55.00%,33,25.00%,2.85,00:04:47,3.33%,2,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,55,100.00%,55,96.36%,1.02,00:00:17,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,53,90.57%,48,77.36%,1.11,00:00:14,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,43,81.40%,35,18.60%,2.81,00:04:03,2.33%,1,$0.00
daniels.du.edu/blog/mean-business-executive/,36,91.67%,33,13.89%,1.03,00:00:46,0.00%,0,$0.00
daniels.du.edu/student-organizations/,35,48.57%,17,2.86%,1.17,00:02:35,2.86%,1,$0.00
daniels.du.edu/ocm/brand-toolkit/,34,52.94%,18,17.65%,1.59,00:00:59,0.00%,0,$0.00
daniels.du.edu/career-services/,32,65.62%,21,34.38%,2.09,00:03:16,0.00%,0,$0.00
daniels.du.edu/blog/du-field-notes-five-epic-parks-for-your-next-adventure/,31,80.65%,25,22.58%,1.23,00:01:32,0.00%,0,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,31,100.00%,31,3.23%,1.87,00:01:17,0.00%,0,$0.00
daniels.du.edu/directory/yashar-atefi/,30,20.00%,6,0.00%,1.57,00:06:13,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,29,100.00%,29,20.69%,1.00,00:00:37,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,27,48.15%,13,11.11%,2.04,00:02:11,3.70%,1,$0.00
daniels.du.edu/executive-education/workshops/digital-marketing/,27,70.37%,19,33.33%,1.07,00:01:12,0.00%,0,$0.00
daniels.du.edu/blog/from-psychology-major-to-project-manager/,26,88.46%,23,7.69%,1.15,00:01:26,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,26,76.92%,20,19.23%,1.69,00:03:11,0.00%,0,$0.00
daniels.du.edu/directory/lijia-karen-xie/,26,88.46%,23,3.85%,1.04,00:00:21,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/accelerated-leadership-experience/,26,73.08%,19,30.77%,1.38,00:00:29,0.00%,0,$0.00
daniels.du.edu/about/,25,24.00%,6,12.00%,2.28,00:03:50,0.00%,0,$0.00
daniels.du.edu/blog/real-estate-and-built-environment-student-shares-his-experience/,25,80.00%,20,16.00%,1.00,00:00:42,0.00%,0,$0.00
daniels.du.edu/executive-education/,23,47.83%,11,21.74%,3.87,00:05:37,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,22,45.45%,10,18.18%,2.27,00:07:16,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,21,71.43%,15,9.52%,2.24,00:02:38,4.76%,1,$0.00
daniels.du.edu/blog/,21,14.29%,3,4.76%,7.19,00:07:09,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/public-safety-leadership/,21,85.71%,18,33.33%,1.14,00:01:03,0.00%,0,$0.00
daniels.du.edu/international-business/,21,71.43%,15,19.05%,2.19,00:02:56,0.00%,0,$0.00
daniels.du.edu/blog/from-performing-to-planning-for-denver-mba-grad/,20,95.00%,19,40.00%,1.30,00:01:13,0.00%,0,$0.00
daniels.du.edu/blog/lessons-from-a-first-time-self-published-author/,19,78.95%,15,15.79%,1.05,00:00:57,0.00%,0,$0.00
daniels.du.edu/request-info-form/,19,42.11%,8,26.32%,2.11,00:01:51,0.00%,0,$0.00
daniels.du.edu/directory/charles-dhanaraj/,17,52.94%,9,0.00%,2.00,00:03:33,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,17,70.59%,12,52.94%,1.94,00:04:44,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,17,76.47%,13,0.00%,2.59,00:01:40,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,17,82.35%,14,52.94%,1.29,00:01:45,0.00%,0,$0.00
daniels.du.edu/blog/from-lawyer-to-tech-ceo/,16,87.50%,14,31.25%,1.25,00:03:11,0.00%,0,$0.00
daniels.du.edu/blog/qa-impact-of-the-coronavirus-pandemic-on-the-hospitality-industry/,16,68.75%,11,31.25%,1.06,00:02:30,0.00%,0,$0.00
daniels.du.edu/blog/top-three-things-youll-gain-masters-finance/,16,100.00%,16,12.50%,1.06,00:02:47,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/certificates/,16,50.00%,8,6.25%,2.12,00:04:24,0.00%,0,$0.00
daniels.du.edu/executive-phd/curriculum/,16,31.25%,5,6.25%,4.31,00:03:44,6.25%,1,$0.00
daniels.du.edu/graduate-admissions/contact-us/,16,37.50%,6,31.25%,1.31,00:01:12,6.25%,1,$0.00
daniels.du.edu/blog/golden-voices-crimson-hearts/,15,100.00%,15,33.33%,1.20,00:01:34,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,15,93.33%,14,6.67%,1.73,00:05:01,0.00%,0,$0.00
daniels.du.edu/executive-phd/?utm_licrid=173650414,15,93.33%,14,60.00%,1.27,00:00:11,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,15,86.67%,13,13.33%,1.27,00:01:49,13.33%,2,$0.00
daniels.du.edu/programs/,15,80.00%,12,46.67%,3.20,00:02:26,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/,15,60.00%,9,20.00%,2.07,00:00:47,0.00%,0,$0.00
daniels.du.edu/blog/6-ways-to-be-a-more-effective-communicator/,14,57.14%,8,35.71%,1.00,00:01:12,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/,14,64.29%,9,14.29%,2.00,00:00:55,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/,14,42.86%,6,50.00%,2.43,00:01:16,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,14,92.86%,13,14.29%,2.00,00:02:16,0.00%,0,$0.00
daniels.du.edu/management/bachelors/,14,71.43%,10,14.29%,1.57,00:00:54,0.00%,0,$0.00
daniels.du.edu/blog/qa-politics-and-ethics-in-business/,13,100.00%,13,30.77%,1.00,00:01:54,0.00%,0,$0.00
daniels.du.edu/blog/restaurants-ambiance-service-important-food-quality/,13,92.31%,12,15.38%,1.15,00:04:51,0.00%,0,$0.00
daniels.du.edu/denver-mba/curriculum/,13,46.15%,6,7.69%,2.23,00:07:34,0.00%,0,$0.00
daniels.du.edu/directory/,13,30.77%,4,0.00%,3.00,00:04:25,0.00%,0,$0.00
daniels.du.edu/directory/ana-babic-rosario/,13,76.92%,10,15.38%,1.69,00:02:38,0.00%,0,$0.00
daniels.du.edu/directory/shahram-amini/,13,69.23%,9,61.54%,1.00,00:00:13,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/insights-discovery/,13,84.62%,11,23.08%,1.00,00:00:37,0.00%,0,$0.00
daniels.du.edu/graduate-certificates/,13,76.92%,10,23.08%,2.38,00:02:39,7.69%,1,$0.00
daniels.du.edu/hospitality-management/degree-requirements/,13,61.54%,8,23.08%,1.62,00:02:06,0.00%,0,$0.00
daniels.du.edu/blog/best-places-to-start-a-business-in-colorado/,12,91.67%,11,33.33%,1.00,00:00:31,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,12,83.33%,10,8.33%,1.92,00:01:37,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,12,75.00%,9,0.00%,1.67,00:02:33,0.00%,0,$0.00
daniels.du.edu/recruiters-companies/,12,33.33%,4,41.67%,2.00,00:02:32,0.00%,0,$0.00
daniels.du.edu/blog/how-to-use-coso-to-assess-it-controls/,11,100.00%,11,0.00%,1.09,00:00:47,0.00%,0,$0.00
daniels.du.edu/burns-school/support/collaboratory/,11,45.45%,5,18.18%,1.55,00:02:59,0.00%,0,$0.00
daniels.du.edu/business-ethics-legal-studies/,11,45.45%,5,54.55%,1.55,00:00:27,9.09%,1,$0.00
daniels.du.edu/business-information-analytics/bachelors/,11,63.64%,7,0.00%,5.09,00:09:07,0.00%,0,$0.00
daniels.du.edu/directory/melissa-akaka/,11,72.73%,8,9.09%,1.73,00:06:59,0.00%,0,$0.00
