# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220424-20220430
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"2,980",72.58%,"2,163",68.42%,1.36,00:00:43,1.07%,32,$0.00
daniels.du.edu/,660,55.76%,368,20.76%,3.16,00:03:48,3.18%,21,$0.00
daniels.du.edu/burns-school/masters/,645,75.81%,489,77.05%,1.39,00:01:18,1.09%,7,$0.00
daniels.du.edu/programs/mba-landing/,506,78.85%,399,70.95%,1.46,00:00:59,2.17%,11,$0.00
daniels.du.edu/denver-mba/,357,77.31%,276,63.31%,1.69,00:01:30,3.92%,14,$0.00
daniels.du.edu/finance/masters/,283,79.86%,226,74.20%,1.31,00:00:37,3.89%,11,$0.00
daniels.du.edu/business-information-analytics/masters/,280,82.86%,232,68.93%,1.42,00:01:22,2.50%,7,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,259,14.67%,38,0.00%,1.21,00:00:40,0.00%,0,$0.00
daniels.du.edu/marketing/masters/,236,86.86%,205,41.53%,1.27,00:01:31,1.69%,4,$0.00
daniels.du.edu/executive-mba/,200,75.00%,150,71.00%,1.56,00:01:27,1.50%,3,$0.00
daniels.du.edu/management/masters/,186,85.48%,159,84.95%,1.26,00:00:48,3.23%,6,$0.00
(not set),175,5.71%,10,0.00%,0.00,00:00:30,6.86%,12,$0.00
daniels.du.edu/duvin-festival/,171,56.73%,97,9.94%,1.22,00:02:12,0.00%,0,$0.00
daniels.du.edu/blog/eleven-questions-with-joshua-ross-cryptocurrency-blockchain/,164,73.17%,120,31.10%,1.17,00:03:34,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,160,31.25%,50,25.00%,1.88,00:03:31,20.62%,33,$0.00
daniels.du.edu/professional-mba/,156,70.51%,110,62.18%,1.35,00:01:11,1.28%,2,$0.00
daniels.du.edu/blog/learning-by-example-attaining-distinction/,153,67.97%,104,28.10%,1.22,00:01:38,0.00%,0,$0.00
daniels.du.edu/blog/10-questions-with-mac-clouse-whats-a-spac/,148,70.27%,104,31.08%,1.18,00:03:00,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/pioneer-venture-group/,122,58.20%,71,52.46%,1.36,00:01:32,0.00%,0,$0.00
daniels.du.edu/blog/qa-whats-happening-with-the-housing-market/,119,68.91%,82,52.10%,1.08,00:01:57,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,109,75.23%,82,58.72%,1.55,00:02:00,2.75%,3,$0.00
daniels.du.edu/executive-phd/,109,63.30%,69,20.18%,3.84,00:04:17,6.42%,7,$0.00
daniels.du.edu/programs/mba-landing/?utm_licrid=160079664,107,69.16%,74,96.26%,1.14,00:00:41,0.00%,0,$0.00
daniels.du.edu/blog/alex-seidel-guest-chef-at-the-2022-du-vin-festival/,97,82.47%,80,23.71%,1.21,00:01:30,0.00%,0,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,97,92.78%,90,17.53%,1.08,00:02:03,0.00%,0,$0.00
daniels.du.edu/burns-school/,89,44.94%,40,14.61%,2.42,00:02:20,1.12%,1,$0.00
daniels.du.edu/blog/5-ways-to-reduce-stress-during-finals/,87,90.80%,79,12.64%,1.02,00:01:30,0.00%,0,$0.00
daniels.du.edu/blog/daniels-team-utilizes-ski-industry-knowledge-to-win-national-diversity-case-competition/,85,70.59%,60,43.53%,1.18,00:00:47,0.00%,0,$0.00
daniels.du.edu/programs/,85,88.24%,75,40.00%,1.14,00:00:16,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,80,25.00%,20,12.50%,3.31,00:04:21,1.25%,1,$0.00
daniels.du.edu/hospitality-management/,75,73.33%,55,25.33%,2.39,00:02:15,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-personal-brand-speaker-series/,61,62.30%,38,19.67%,1.21,00:01:30,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,61,44.26%,27,16.39%,1.46,00:02:53,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-startup-marketing-101/,54,55.56%,30,46.30%,1.11,00:00:43,0.00%,0,$0.00
daniels.du.edu/blog/du-program-sprouts-new-opportunities-for-refugees/,51,74.51%,38,37.25%,2.25,00:04:21,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/masters/?utm_licrid=160868864,51,50.98%,26,98.04%,1.00,<00:00:01,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,51,56.86%,29,27.45%,1.33,00:01:01,5.88%,3,$0.00
daniels.du.edu/events/,49,51.02%,25,30.61%,2.37,00:02:16,0.00%,0,$0.00
daniels.du.edu/admit-weekend/,47,27.66%,13,21.28%,1.34,00:03:06,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,47,48.94%,23,6.38%,2.00,00:02:43,0.00%,0,$0.00
daniels.du.edu/career-services/,45,42.22%,19,33.33%,1.73,00:03:06,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,45,62.22%,28,24.44%,1.29,00:01:14,0.00%,0,$0.00
daniels.du.edu/about/,44,18.18%,8,18.18%,2.20,00:04:49,2.27%,1,$0.00
daniels.du.edu/burns-video-hub/,43,86.05%,37,65.12%,1.19,00:00:34,0.00%,0,$0.00
daniels.du.edu/directory/lora-louise-broady/,43,86.05%,37,0.00%,1.00,00:00:11,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,43,48.84%,21,25.58%,1.79,00:02:24,0.00%,0,$0.00
daniels.du.edu/discover-denver/,42,54.76%,23,7.14%,2.86,00:04:11,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,41,51.22%,21,19.51%,1.56,00:01:37,2.44%,1,$0.00
daniels.du.edu/blog/mean-business-executive/,39,92.31%,36,7.69%,1.08,00:01:28,0.00%,0,$0.00
