# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220522-20220528
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"3,502",73.10%,"2,560",66.30%,1.36,00:00:59,0.94%,33,$0.00
daniels.du.edu/business-information-analytics/masters/,875,88.23%,772,55.43%,1.97,00:01:08,3.31%,29,$0.00
daniels.du.edu/,600,57.50%,345,21.83%,3.28,00:03:13,5.00%,30,$0.00
daniels.du.edu/executive-mba/,572,89.86%,514,89.16%,1.15,00:00:17,0.35%,2,$0.00
daniels.du.edu/marketing/masters/,569,92.44%,526,34.45%,1.75,00:00:50,1.58%,9,$0.00
daniels.du.edu/burns-school/masters/,445,83.15%,370,74.16%,1.31,00:01:05,0.45%,2,$0.00
daniels.du.edu/programs/mba-landing/,442,78.96%,349,61.76%,1.65,00:01:20,2.04%,9,$0.00
daniels.du.edu/denver-mba/,257,78.21%,201,64.98%,2.21,00:02:29,2.33%,6,$0.00
daniels.du.edu/executive-phd/,256,87.50%,224,62.89%,1.71,00:01:24,3.12%,8,$0.00
daniels.du.edu/management/masters/,250,94.40%,236,74.80%,1.44,00:00:34,1.60%,4,$0.00
daniels.du.edu/finance/masters/,231,86.58%,200,74.89%,1.26,00:00:51,1.73%,4,$0.00
daniels.du.edu/blog/daniels-faculty-and-staff-gather-to-celebrate-accomplishments/,225,76.00%,171,66.67%,1.08,00:00:49,0.00%,0,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,190,17.37%,33,0.00%,1.03,00:00:23,0.00%,0,$0.00
daniels.du.edu/blog/barb-jackson-retires-from-burns-school/,168,82.74%,139,14.88%,1.15,00:01:32,0.00%,0,$0.00
daniels.du.edu/blog/the-best-job-i-ever-had-accountancy-professor-retires-from-alma-mater/,166,87.35%,145,22.29%,1.20,00:01:21,0.00%,0,$0.00
daniels.du.edu/blog/daniels-ranks-no-59-for-u-s-news-best-online-mba-program/,153,92.81%,142,36.60%,2.21,00:00:55,1.96%,3,$0.00
daniels.du.edu/marketing/bachelors/,151,90.73%,137,32.45%,1.80,00:00:49,1.32%,2,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,137,90.51%,124,20.44%,1.19,00:02:08,0.00%,0,$0.00
(not set),125,7.20%,9,0.00%,0.00,00:00:23,1.60%,2,$0.00
daniels.du.edu/professional-mba/,124,70.97%,88,61.29%,1.64,00:03:02,4.84%,6,$0.00
daniels.du.edu/blog/what-everyone-needs-to-know-about-negotiation/,111,78.38%,87,24.32%,1.22,00:02:13,0.00%,0,$0.00
daniels.du.edu/burns-school/,110,69.09%,76,11.82%,2.36,00:02:32,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/international-students/,106,86.79%,92,27.36%,1.50,00:01:42,12.26%,13,$0.00
daniels.du.edu/blog/du-alum-builds-connections-through-distilling-company/,101,64.36%,65,21.78%,1.33,00:03:33,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,95,46.32%,44,38.95%,2.01,00:02:58,12.63%,12,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,94,67.02%,63,37.23%,1.81,00:02:11,1.06%,1,$0.00
daniels.du.edu/entrepreneurship/,88,40.91%,36,5.68%,3.17,00:03:27,1.14%,1,$0.00
daniels.du.edu/ocm/brand-toolkit/,67,49.25%,33,35.82%,1.46,00:01:14,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/madden-challenge-spring-2022/,63,69.84%,44,23.81%,1.22,00:01:21,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,63,69.84%,44,17.46%,2.90,00:03:15,0.00%,0,$0.00
daniels.du.edu/blog/daniels-canstruction-project-fights-hunger-and-food-waste/,57,70.18%,40,19.30%,1.26,00:01:48,0.00%,0,$0.00
daniels.du.edu/events/,56,44.64%,25,32.14%,1.50,00:02:16,1.79%,1,$0.00
daniels.du.edu/blog/mean-business-executive/,52,96.15%,50,30.77%,1.08,00:01:49,0.00%,0,$0.00
daniels.du.edu/blog/what-would-your-mom-think/,52,75.00%,39,48.08%,1.08,00:00:21,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,42,80.95%,34,38.10%,1.69,00:02:30,2.38%,1,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,41,95.12%,39,97.56%,1.00,<00:00:01,0.00%,0,$0.00
daniels.du.edu/blog/why-community-commitment-isnt-optional/,41,73.17%,30,68.29%,1.66,00:02:06,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,41,63.41%,26,21.95%,1.95,00:02:17,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/contact-us/,41,82.93%,34,48.78%,1.61,00:00:31,4.88%,2,$0.00
daniels.du.edu/directory/,39,20.51%,8,7.69%,3.08,00:02:10,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,38,92.11%,35,63.16%,1.29,00:00:19,0.00%,0,$0.00
daniels.du.edu/blog/daniels-launches-new-program-in-digital-leadership/,37,72.97%,27,16.22%,1.73,00:02:39,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,36,72.22%,26,8.33%,1.50,00:01:56,2.78%,1,$0.00
daniels.du.edu/international-business/,34,67.65%,23,17.65%,1.74,00:03:39,0.00%,0,$0.00
daniels.du.edu/marketing/graduate-certificates/,34,82.35%,28,58.82%,1.71,00:01:08,2.94%,1,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-pop-up/,33,48.48%,16,6.06%,1.18,00:00:59,0.00%,0,$0.00
daniels.du.edu/burns-school/support/collaboratory/,33,63.64%,21,30.30%,1.45,00:01:16,0.00%,0,$0.00
daniels.du.edu/executive-education/,33,66.67%,22,24.24%,2.27,00:03:51,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/pioneer-venture-group/,32,53.12%,17,46.88%,1.22,00:02:10,0.00%,0,$0.00
