# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220619-20220625
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"3,270",75.11%,"2,456",61.19%,1.42,00:00:51,1.53%,50,$0.00
daniels.du.edu/,509,64.83%,330,22.00%,2.90,00:03:17,4.91%,25,$0.00
daniels.du.edu/executive-mba/,421,81.00%,341,81.47%,1.21,00:00:36,0.71%,3,$0.00
daniels.du.edu/burns-school/masters/,394,80.20%,316,68.27%,1.47,00:01:11,1.02%,4,$0.00
daniels.du.edu/business-information-analytics/masters/,352,85.23%,300,68.75%,1.60,00:01:28,1.42%,5,$0.00
daniels.du.edu/executive-phd/,244,79.10%,193,49.59%,3.22,00:02:50,4.51%,11,$0.00
daniels.du.edu/denver-mba/,239,76.57%,183,52.30%,2.02,00:01:35,2.93%,7,$0.00
daniels.du.edu/programs/mba-landing/,235,79.57%,187,79.15%,1.28,00:00:52,1.28%,3,$0.00
daniels.du.edu/finance/masters/,215,80.00%,172,73.95%,1.41,00:01:14,1.40%,3,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,172,19.77%,34,0.00%,1.13,00:01:23,0.00%,0,$0.00
daniels.du.edu/marketing/masters/,171,92.98%,159,39.77%,1.46,00:01:17,1.75%,3,$0.00
daniels.du.edu/management/masters/,148,91.89%,136,87.84%,1.17,00:00:19,0.68%,1,$0.00
daniels.du.edu/graduate-admissions/,121,33.88%,41,23.14%,2.30,00:04:47,14.05%,17,$0.00
daniels.du.edu/professional-mba/,111,63.06%,70,56.76%,2.19,00:02:59,1.80%,2,$0.00
(not set),107,5.61%,6,0.00%,0.00,00:00:37,7.48%,8,$0.00
daniels.du.edu/burns-school/,90,60.00%,54,14.44%,2.08,00:03:30,2.22%,2,$0.00
daniels.du.edu/blog/lessons-from-a-first-time-self-published-author/,87,73.56%,64,14.94%,1.13,00:01:24,0.00%,0,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,75,96.00%,72,24.00%,1.21,00:02:16,0.00%,0,$0.00
daniels.du.edu/student-organizations/,66,77.27%,51,3.03%,1.12,00:01:22,0.00%,0,$0.00
daniels.du.edu/executive-mba/?utm_licrid=177531654,62,93.55%,58,82.26%,1.13,00:00:46,0.00%,0,$0.00
daniels.du.edu/blog/new-high-tech-collaboratory-positions-students-for-success/,60,68.33%,41,46.67%,1.48,00:01:08,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,57,70.18%,40,36.84%,1.35,00:01:50,7.02%,4,$0.00
daniels.du.edu/accountancy/masters/,55,63.64%,35,32.73%,2.05,00:06:42,10.91%,6,$0.00
daniels.du.edu/hospitality-management/,54,75.93%,41,24.07%,2.33,00:02:15,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,53,92.45%,49,13.21%,1.11,00:02:28,0.00%,0,$0.00
