# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220515-20220521
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"1,693",76.26%,"1,291",62.20%,1.38,00:00:53,1.42%,24,$0.00
daniels.du.edu/business-information-analytics/masters/,853,89.80%,766,52.29%,2.08,00:01:05,3.63%,31,$0.00
daniels.du.edu/,684,55.85%,382,15.94%,3.01,00:03:08,6.73%,46,$0.00
daniels.du.edu/programs/mba-landing/,451,79.60%,359,58.54%,1.68,00:01:10,1.55%,7,$0.00
daniels.du.edu/executive-phd/,382,89.27%,341,75.13%,1.44,00:00:47,1.05%,4,$0.00
daniels.du.edu/burns-school/masters/,368,78.80%,290,67.12%,1.39,00:01:21,0.27%,1,$0.00
daniels.du.edu/marketing/masters/,311,88.10%,274,38.26%,1.55,00:00:59,1.29%,4,$0.00
daniels.du.edu/denver-mba/,263,76.05%,200,64.64%,1.68,00:01:20,2.66%,7,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,215,16.28%,35,0.00%,1.12,00:01:00,0.00%,0,$0.00
daniels.du.edu/finance/masters/,213,75.59%,161,65.73%,1.55,00:01:46,1.41%,3,$0.00
daniels.du.edu/executive-mba/,168,75.60%,127,60.71%,1.52,00:01:20,1.19%,2,$0.00
(not set),136,3.68%,5,0.00%,0.00,00:00:39,2.21%,3,$0.00
daniels.du.edu/professional-mba/,135,74.81%,101,57.78%,1.55,00:01:27,2.96%,4,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,129,86.82%,112,22.48%,1.10,00:02:18,0.00%,0,$0.00
daniels.du.edu/burns-school/,129,45.74%,59,25.58%,2.09,00:02:05,0.00%,0,$0.00
daniels.du.edu/management/masters/,129,84.50%,109,77.52%,1.67,00:02:55,2.33%,3,$0.00
daniels.du.edu/graduate-admissions/,96,48.96%,47,35.42%,1.58,00:02:35,22.92%,22,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipduthe-business-of-coffee/,95,55.79%,53,22.11%,1.19,00:01:22,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,89,60.67%,54,17.98%,1.58,00:02:19,3.37%,3,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,85,55.29%,47,21.18%,1.78,00:01:33,2.35%,2,$0.00
daniels.du.edu/undergraduate-programs/academics/,84,25.00%,21,10.71%,2.82,00:03:46,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,76,28.95%,22,11.84%,2.51,00:03:01,0.00%,0,$0.00
daniels.du.edu/blog/students-take-on-art-diversity-challenge/,75,68.00%,51,41.33%,1.08,00:00:30,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,69,62.32%,43,20.29%,3.04,00:02:47,0.00%,0,$0.00
daniels.du.edu/blog/what-would-your-mom-think/,64,65.62%,42,28.12%,1.12,00:00:56,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/international-students/,63,79.37%,50,28.57%,1.41,00:02:47,15.87%,10,$0.00
daniels.du.edu/blog/mean-business-executive/,58,87.93%,51,13.79%,1.09,00:00:54,0.00%,0,$0.00
daniels.du.edu/burns-school/support/collaboratory/,49,73.47%,36,28.57%,1.47,00:02:25,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,49,42.86%,21,20.41%,1.73,00:01:56,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,48,93.75%,45,60.42%,1.15,00:00:37,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/madden-challenge-spring-2022/,46,71.74%,33,39.13%,1.37,00:00:38,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,46,43.48%,20,6.52%,1.98,00:02:34,0.00%,0,$0.00
daniels.du.edu/blog/summer-internship-goals-and-expectations-by-rebecca-damas/,44,90.91%,40,13.64%,1.05,00:01:23,0.00%,0,$0.00
daniels.du.edu/blog/qa-impact-of-the-coronavirus-pandemic-on-the-hospitality-industry/,43,76.74%,33,32.56%,1.09,00:02:07,0.00%,0,$0.00
daniels.du.edu/events/,43,51.16%,22,20.93%,1.21,00:01:14,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,42,73.81%,31,59.52%,1.81,00:02:05,2.38%,1,$0.00
