# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220612-20220618
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/programs/,14,64.29%,9,28.57%,2.79,00:03:58,7.14%,1,$0.00
daniels.du.edu/student-organizations/,14,50.00%,7,14.29%,1.36,00:00:39,0.00%,0,$0.00
daniels.du.edu/blog/electronic-word-of-mouth-what-marketers-need-to-know/,13,76.92%,10,38.46%,1.00,00:01:10,0.00%,0,$0.00
daniels.du.edu/directory/andrew-detzel/,13,84.62%,11,0.00%,1.00,00:00:08,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/,13,61.54%,8,38.46%,1.31,00:00:43,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/finance-non-financial-managers/,13,46.15%,6,38.46%,1.46,00:02:55,0.00%,0,$0.00
daniels.du.edu/executive-phd/curriculum/,13,69.23%,9,15.38%,1.92,00:02:36,0.00%,0,$0.00
daniels.du.edu/graduate-certificates/,13,61.54%,8,23.08%,2.00,00:01:56,15.38%,2,$0.00
daniels.du.edu/blog/golden-voices-crimson-hearts/,12,83.33%,10,8.33%,1.08,00:02:48,0.00%,0,$0.00
daniels.du.edu/blog/top-three-things-youll-gain-masters-finance/,12,91.67%,11,0.00%,1.17,00:03:06,0.00%,0,$0.00
daniels.du.edu/denver-mba/curriculum/,12,16.67%,2,0.00%,5.83,00:18:49,8.33%,1,$0.00
daniels.du.edu/directory/lorenzo-patelli/,12,100.00%,12,25.00%,1.17,00:01:22,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/bailey-family-enterprise-speaker-series/,12,75.00%,9,0.00%,1.17,00:00:33,0.00%,0,$0.00
daniels.du.edu/blog/effective-immersion-experience/,11,90.91%,10,36.36%,1.09,00:01:20,0.00%,0,$0.00
daniels.du.edu/blog/how-to-recover-from-academic-probation/,11,90.91%,10,18.18%,1.00,00:00:17,0.00%,0,$0.00
daniels.du.edu/blog/impact-of-the-coronavirus-pandemic-on-marketing/,11,81.82%,9,36.36%,1.00,00:00:54,0.00%,0,$0.00
daniels.du.edu/career-services,11,63.64%,7,45.45%,4.00,00:06:21,0.00%,0,$0.00
daniels.du.edu/cibic/,11,63.64%,7,27.27%,1.45,00:02:17,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/pioneer-venture-group/,11,81.82%,9,45.45%,1.00,00:00:15,0.00%,0,$0.00
daniels.du.edu/events/,11,45.45%,5,27.27%,1.27,00:00:15,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/data-visualization/,11,81.82%,9,45.45%,1.36,00:02:40,0.00%,0,$0.00
daniels.du.edu/ocm/,11,0.00%,0,9.09%,3.36,00:05:06,0.00%,0,$0.00
daniels.du.edu/blog/connections-help-grad-land-dream-consulting-job/,10,90.00%,9,20.00%,1.00,00:00:29,0.00%,0,$0.00
daniels.du.edu/blog/undergraduate-business-program-named-no-38-in-nation/,10,40.00%,4,10.00%,1.90,00:00:58,0.00%,0,$0.00
daniels.du.edu/directory/eric-holt/,10,50.00%,5,10.00%,1.80,00:02:12,0.00%,0,$0.00
daniels.du.edu/directory/vivek-choudhury/,10,70.00%,7,0.00%,1.90,00:01:41,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/digital-marketing/,10,80.00%,8,60.00%,1.00,00:00:02,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/public-safety-leadership/,10,60.00%,6,50.00%,1.00,00:00:31,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,10,100.00%,10,40.00%,1.00,00:00:07,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/four-plus-one/,10,60.00%,6,10.00%,2.40,00:02:00,10.00%,1,$0.00
,"9,811",72.27%,"7,090",40.00%,1.61,00:01:42,1.77%,174,$0.00

Day Index,Sessions
6/12/22,976
6/13/22,"1,364"
6/14/22,"1,470"
6/15/22,"1,726"
6/16/22,"1,671"
6/17/22,"1,311"
6/18/22,"1,293"
,"9,811"
