# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220612-20220618
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"2,150",73.72%,"1,585",56.88%,1.46,00:00:54,1.40%,30,$0.00
daniels.du.edu/,561,59.89%,336,23.53%,3.12,00:03:11,5.70%,32,$0.00
daniels.du.edu/business-information-analytics/masters/,420,79.52%,334,66.67%,1.71,00:01:43,1.43%,6,$0.00
daniels.du.edu/executive-mba/,387,82.69%,320,83.20%,1.30,00:00:43,1.29%,5,$0.00
daniels.du.edu/burns-school/masters/,356,80.06%,285,60.11%,1.62,00:01:32,2.25%,8,$0.00
daniels.du.edu/denver-mba/,260,74.62%,194,56.92%,1.75,00:02:27,4.62%,12,$0.00
daniels.du.edu/marketing/masters/,225,86.22%,194,32.44%,1.26,00:00:59,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/,223,80.27%,179,73.54%,1.50,00:01:00,2.24%,5,$0.00
daniels.du.edu/finance/masters/,213,90.14%,192,77.93%,1.22,00:00:55,0.94%,2,$0.00
daniels.du.edu/executive-phd/,206,83.98%,173,48.06%,2.03,00:02:02,2.91%,6,$0.00
daniels.du.edu/blog/6-ways-to-be-a-more-effective-communicator/,164,66.46%,109,20.12%,1.37,00:02:25,0.00%,0,$0.00
daniels.du.edu/management/masters/,156,91.67%,143,86.54%,1.10,00:00:14,0.00%,0,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,152,20.39%,31,0.00%,1.09,00:00:45,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,146,47.95%,70,39.04%,1.65,00:03:21,17.12%,25,$0.00
daniels.du.edu/professional-mba/,127,69.29%,88,48.03%,1.97,00:02:36,3.94%,5,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,116,85.34%,99,22.41%,1.14,00:01:42,0.00%,0,$0.00
(not set),105,8.57%,9,0.00%,0.00,00:00:30,1.90%,2,$0.00
daniels.du.edu/blog/with-yoda-like-wisdom-professors-impact-stretches-beyond/,93,83.87%,78,18.28%,1.19,00:00:58,1.08%,1,$0.00
daniels.du.edu/blog/from-lawyer-to-tech-ceo/,87,80.46%,70,64.37%,1.18,00:01:48,0.00%,0,$0.00
daniels.du.edu/burns-school/,69,55.07%,38,15.94%,1.93,00:01:19,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,66,72.73%,48,16.67%,2.41,00:03:26,4.55%,3,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,61,65.57%,40,18.03%,1.84,00:03:45,1.64%,1,$0.00
daniels.du.edu/accountancy/masters/,52,71.15%,37,23.08%,1.98,00:03:42,9.62%,5,$0.00
daniels.du.edu/blog/life-is-short-but-life-is-long-as-well/,51,72.55%,37,21.57%,1.14,00:00:26,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,49,91.84%,45,10.20%,1.08,00:01:06,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,42,50.00%,21,19.05%,1.69,00:02:38,2.38%,1,$0.00
daniels.du.edu/blog/new-high-tech-collaboratory-positions-students-for-success/,41,53.66%,22,34.15%,1.20,00:01:06,0.00%,0,$0.00
daniels.du.edu/blog/50-years-service/,40,90.00%,36,12.50%,1.22,00:01:29,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/accelerated-leadership-experience,39,82.05%,32,84.62%,1.21,00:00:29,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,38,57.89%,22,21.05%,1.37,00:02:50,0.00%,0,$0.00
daniels.du.edu/executive-education/,35,51.43%,18,8.57%,2.86,00:04:26,2.86%,1,$0.00
daniels.du.edu/career-services/,34,29.41%,10,14.71%,1.79,00:01:54,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,32,93.75%,30,68.75%,1.09,00:00:08,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,32,75.00%,24,15.62%,1.31,00:01:57,0.00%,0,$0.00
daniels.du.edu/blog/from-performing-to-planning-for-denver-mba-grad/,31,83.87%,26,16.13%,1.00,00:01:18,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/international-students/,30,46.67%,14,50.00%,1.20,00:01:13,3.33%,1,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,28,96.43%,27,96.43%,1.07,00:01:35,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,27,59.26%,16,7.41%,1.74,00:04:50,0.00%,0,$0.00
daniels.du.edu/accountancy/,25,80.00%,20,24.00%,2.00,00:01:55,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/insights-discovery/,25,80.00%,20,36.00%,1.20,00:01:01,0.00%,0,$0.00
daniels.du.edu/request-info-form/,25,40.00%,10,12.00%,1.92,00:02:32,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,23,73.91%,17,8.70%,3.22,00:03:02,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,23,82.61%,19,13.04%,1.09,00:00:54,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,21,66.67%,14,14.29%,2.00,00:03:52,0.00%,0,$0.00
daniels.du.edu/directory/,21,19.05%,4,4.76%,3.52,00:02:05,0.00%,0,$0.00
daniels.du.edu/executive-education/webinars/,21,42.86%,9,47.62%,1.62,00:02:48,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/,21,66.67%,14,9.52%,2.48,00:02:32,4.76%,1,$0.00
daniels.du.edu/international-business/,20,80.00%,16,0.00%,1.85,00:01:23,0.00%,0,$0.00
daniels.du.edu/directory/yashar-atefi/,19,10.53%,2,5.26%,1.68,00:13:26,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/contact-us/,19,63.16%,12,36.84%,2.26,00:03:13,5.26%,1,$0.00
daniels.du.edu/blog/qa-impact-of-the-coronavirus-pandemic-on-the-hospitality-industry/,18,100.00%,18,33.33%,1.11,00:01:44,0.00%,0,$0.00
daniels.du.edu/blog/summer-internship-goals-and-expectations-by-rebecca-damas/,18,94.44%,17,5.56%,1.44,00:02:16,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/accelerated-leadership-experience/,18,66.67%,12,27.78%,1.78,00:00:46,0.00%,0,$0.00
daniels.du.edu/blog/from-psychology-major-to-project-manager/,17,94.12%,16,5.88%,1.18,00:03:09,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,17,94.12%,16,0.00%,2.24,00:03:00,5.88%,1,$0.00
daniels.du.edu/directory/glenn-mueller/,17,58.82%,10,11.76%,1.18,00:00:27,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,17,82.35%,14,58.82%,2.41,00:02:07,0.00%,0,$0.00
daniels.du.edu/recruiters-companies/,17,52.94%,9,58.82%,1.94,00:02:15,0.00%,0,$0.00
daniels.du.edu/about/,16,56.25%,9,18.75%,3.06,00:09:06,0.00%,0,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,16,93.75%,15,12.50%,1.06,00:02:07,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,16,68.75%,11,12.50%,1.19,00:01:20,0.00%,0,$0.00
daniels.du.edu/blog/emotions-have-surprising-influence-on-leadership-and-life/,15,93.33%,14,26.67%,1.07,00:00:49,0.00%,0,$0.00
daniels.du.edu/blog/qa-four-seasons-hotels-resorts/,15,80.00%,12,13.33%,1.27,00:02:57,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,15,93.33%,14,20.00%,1.07,00:01:48,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/events/,15,53.33%,8,26.67%,2.60,00:03:10,6.67%,1,$0.00
daniels.du.edu/management/bachelors/,15,93.33%,14,0.00%,1.93,00:03:06,6.67%,1,$0.00
daniels.du.edu/undergraduate-programs/academics/,15,46.67%,7,26.67%,2.93,00:05:16,0.00%,0,$0.00
daniels.du.edu/directory/charles-dhanaraj/,14,64.29%,9,7.14%,1.21,00:00:45,0.00%,0,$0.00
daniels.du.edu/directory/gia-nardini/,14,78.57%,11,0.00%,1.00,00:00:24,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,14,57.14%,8,28.57%,1.50,00:00:55,0.00%,0,$0.00
