# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220814-20220820
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/,463,59.40%,275,9.50%,4.11,00:04:55,6.05%,28,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,230,15.65%,36,0.00%,1.02,00:00:18,0.00%,0,$0.00
daniels.du.edu/burns-school/masters/,158,72.78%,115,37.97%,2.27,00:04:03,2.53%,4,$0.00
daniels.du.edu/denver-mba/,146,73.97%,108,33.56%,2.77,00:03:16,4.11%,6,$0.00
daniels.du.edu/business-information-analytics/masters/,138,75.36%,104,43.48%,2.06,00:03:22,1.45%,2,$0.00
daniels.du.edu/blog/how-executive-education-short-courses-help-mid-career-professionals/,133,83.46%,111,30.83%,1.30,00:01:29,0.00%,0,$0.00
(not set),117,16.24%,19,0.00%,0.00,00:00:31,3.42%,4,$0.00
daniels.du.edu/burns-school/,115,44.35%,51,18.26%,2.56,00:02:55,0.87%,1,$0.00
daniels.du.edu/executive-phd/,115,66.96%,77,9.57%,2.94,00:04:20,4.35%,5,$0.00
daniels.du.edu/finance/masters/,111,67.57%,75,44.14%,1.84,00:02:59,5.41%,6,$0.00
daniels.du.edu/graduate-admissions/,100,41.00%,41,24.00%,2.04,00:03:12,24.00%,24,$0.00
daniels.du.edu/digital-leadership/,97,78.35%,76,75.26%,1.84,00:01:40,3.09%,3,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,92,86.96%,80,16.30%,1.07,00:01:30,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/,91,82.42%,75,51.65%,2.08,00:01:43,3.30%,3,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,82,96.34%,79,14.63%,1.20,00:04:00,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,75,81.33%,61,25.33%,2.25,00:03:07,1.33%,1,$0.00
daniels.du.edu/professional-mba/,72,70.83%,51,40.28%,2.10,00:03:30,2.78%,2,$0.00
daniels.du.edu/accountancy/masters/,70,55.71%,39,17.14%,2.40,00:05:02,7.14%,5,$0.00
daniels.du.edu/marketing/masters/,61,90.16%,55,52.46%,2.28,00:03:32,1.64%,1,$0.00
daniels.du.edu/executive-mba/,57,71.93%,41,54.39%,1.86,00:01:39,5.26%,3,$0.00
daniels.du.edu/management/masters/,52,94.23%,49,71.15%,1.37,00:01:01,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,52,38.46%,20,23.08%,2.04,00:03:16,0.00%,0,$0.00
daniels.du.edu/blog/executive-mba-alumna-knows-no-limits/,49,69.39%,34,20.41%,1.10,00:02:36,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,45,95.56%,43,91.11%,1.09,00:01:27,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,44,68.18%,30,15.91%,1.59,00:03:11,6.82%,3,$0.00
daniels.du.edu/career-services/,43,39.53%,17,13.95%,1.65,00:01:20,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,42,69.05%,29,2.38%,2.64,00:02:42,0.00%,0,$0.00
daniels.du.edu/executive-education/,41,75.61%,31,41.46%,2.37,00:02:34,0.00%,0,$0.00
daniels.du.edu/directory/,40,37.50%,15,2.50%,4.72,00:05:39,0.00%,0,$0.00
daniels.du.edu/finance/faculty-staff/,39,84.62%,33,2.56%,5.00,00:03:35,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,33,78.79%,26,0.00%,2.06,00:02:55,3.03%,1,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,33,87.88%,29,9.09%,1.15,00:01:05,0.00%,0,$0.00
daniels.du.edu/executive-education/high-performance-leadership-program/,33,90.91%,30,51.52%,1.55,00:02:01,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/summer-base-camp-the-final-pitch/,32,46.88%,15,12.50%,1.12,00:02:33,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,32,90.62%,29,68.75%,1.06,00:00:25,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,31,74.19%,23,25.81%,1.71,00:02:14,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,31,48.39%,15,35.48%,2.65,00:03:46,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/public-safety-leadership/,30,50.00%,15,66.67%,1.20,00:00:55,0.00%,0,$0.00
daniels.du.edu/marketing/,30,86.67%,26,6.67%,3.97,00:03:32,3.33%,1,$0.00
daniels.du.edu/business-information-analytics/bachelors/,28,78.57%,22,3.57%,1.61,00:02:50,0.00%,0,$0.00
daniels.du.edu/blog/master-of-science-in-applied-quantitative-finance-msaqf-vs-mba-which-is-right-for-you/,27,70.37%,19,25.93%,1.07,00:03:24,0.00%,0,$0.00
