# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220529-20220604
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/management/bachelors/,16,87.50%,14,31.25%,2.69,00:03:10,0.00%,0,$0.00
daniels.du.edu/marketing/,15,53.33%,8,13.33%,2.40,00:02:17,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/,15,46.67%,7,13.33%,2.53,00:06:37,0.00%,0,$0.00
daniels.du.edu/about/leadership/,14,64.29%,9,50.00%,1.21,00:02:56,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/certificates/,14,85.71%,12,14.29%,1.29,00:00:49,0.00%,0,$0.00
daniels.du.edu/directory/collon-kennedy/,14,85.71%,12,0.00%,1.00,00:00:10,0.00%,0,$0.00
daniels.du.edu/directory/michael-crean/,14,85.71%,12,7.14%,1.21,00:02:09,0.00%,0,$0.00
daniels.du.edu/graduation-celebration/,14,78.57%,11,14.29%,1.79,00:01:16,0.00%,0,$0.00
daniels.du.edu/marketing/graduate-certificates/,14,78.57%,11,21.43%,1.50,00:01:56,0.00%,0,$0.00
daniels.du.edu/blog/daniels-launches-new-program-in-digital-leadership/,13,53.85%,7,23.08%,1.38,00:01:04,0.00%,0,$0.00
daniels.du.edu/blog/restaurants-ambiance-service-important-food-quality/,13,92.31%,12,30.77%,1.08,00:03:15,0.00%,0,$0.00
daniels.du.edu/denver-mba/curriculum/,13,30.77%,4,7.69%,1.85,00:07:46,7.69%,1,$0.00
daniels.du.edu/directory/haragopal-parsa/,13,61.54%,8,0.00%,1.00,00:00:13,0.00%,0,$0.00
daniels.du.edu/finance/,13,61.54%,8,7.69%,1.62,00:00:20,0.00%,0,$0.00
daniels.du.edu/accountancy/,12,66.67%,8,0.00%,3.50,00:02:39,0.00%,0,$0.00
daniels.du.edu/blog/apartment-survey-shows-rent-increases-and-steady-vacancy/,12,100.00%,12,16.67%,1.33,00:04:01,0.00%,0,$0.00
daniels.du.edu/about/,11,45.45%,5,27.27%,1.73,00:06:25,0.00%,0,$0.00
daniels.du.edu/directory/charles-dhanaraj/,11,63.64%,7,18.18%,1.18,00:01:27,0.00%,0,$0.00
daniels.du.edu/directory/peipei-gong/,11,27.27%,3,0.00%,1.91,00:05:53,0.00%,0,$0.00
daniels.du.edu/directory/shahram-amini/,11,72.73%,8,18.18%,1.18,00:02:08,0.00%,0,$0.00
daniels.du.edu/executive-education/webinars/,11,36.36%,4,36.36%,2.09,00:05:05,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/accelerated-leadership-experience/,11,81.82%,9,36.36%,1.27,00:05:01,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/data-visualization/,11,72.73%,8,18.18%,1.09,00:00:49,0.00%,0,$0.00
daniels.du.edu/executive-phd/curriculum/,11,36.36%,4,9.09%,1.73,00:00:32,0.00%,0,$0.00
,"12,193",72.65%,"8,858",42.27%,1.63,00:01:28,1.71%,208,$0.00

Day Index,Sessions
5/29/22,"2,322"
5/30/22,"2,034"
5/31/22,"2,170"
6/1/22,"1,404"
6/2/22,"1,720"
6/3/22,"1,531"
6/4/22,"1,012"
,"12,193"
