# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220529-20220604
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"2,632",66.57%,"1,752",65.54%,1.38,00:00:46,1.48%,39,$0.00
daniels.du.edu/business-information-analytics/masters/,989,88.17%,872,55.51%,2.13,00:01:01,3.24%,32,$0.00
daniels.du.edu/,564,60.64%,342,25.35%,3.04,00:02:42,3.55%,20,$0.00
daniels.du.edu/marketing/masters/,533,90.62%,483,33.77%,1.90,00:00:57,1.88%,10,$0.00
daniels.du.edu/executive-mba/,381,83.20%,317,85.04%,1.16,00:00:33,0.52%,2,$0.00
daniels.du.edu/burns-school/masters/,319,79.31%,253,63.95%,1.74,00:01:44,0.94%,3,$0.00
daniels.du.edu/programs/mba-landing/,277,80.51%,223,73.65%,1.33,00:00:41,0.36%,1,$0.00
daniels.du.edu/denver-mba/,248,82.26%,204,66.13%,1.75,00:02:14,2.02%,5,$0.00
daniels.du.edu/executive-phd/,245,85.71%,210,55.92%,1.57,00:01:43,2.45%,6,$0.00
daniels.du.edu/finance/masters/,181,82.87%,150,72.93%,1.66,00:01:33,0.00%,0,$0.00
daniels.du.edu/management/masters/,178,93.26%,166,75.28%,1.29,00:00:50,2.81%,5,$0.00
daniels.du.edu/blog/connections-help-grad-land-dream-consulting-job/,175,77.14%,135,17.14%,1.20,00:02:07,0.00%,0,$0.00
daniels.du.edu/blog/daniels-ranks-no-59-for-u-s-news-best-online-mba-program/,157,92.36%,145,42.68%,2.24,00:01:01,1.27%,2,$0.00
daniels.du.edu/marketing/bachelors/,153,90.85%,139,37.25%,1.48,00:00:46,0.65%,1,$0.00
daniels.du.edu/blog/daniels-events/madden-challenge-spring-2022/,146,47.26%,69,11.64%,1.23,00:01:25,0.00%,0,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,136,18.38%,25,0.00%,1.05,00:00:18,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/international-students/,116,89.66%,104,25.86%,1.45,00:01:54,19.83%,23,$0.00
daniels.du.edu/professional-mba/,115,66.09%,76,57.39%,1.77,00:02:25,2.61%,3,$0.00
(not set),108,5.56%,6,0.00%,0.00,00:00:33,1.85%,2,$0.00
daniels.du.edu/graduate-admissions/,108,45.37%,49,27.78%,1.79,00:03:07,18.52%,20,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,108,77.78%,84,35.19%,1.87,00:01:24,3.70%,4,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,106,92.45%,98,15.09%,1.11,00:01:34,0.00%,0,$0.00
daniels.du.edu/burns-school/,103,56.31%,58,14.56%,2.49,00:03:23,0.97%,1,$0.00
daniels.du.edu/blog/don-bacon-retires-from-daniels/,101,76.24%,77,15.84%,1.10,00:01:12,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,79,27.85%,22,10.13%,2.67,00:02:22,0.00%,0,$0.00
daniels.du.edu/accountancy/masters/,76,80.26%,61,43.42%,1.76,00:02:19,2.63%,2,$0.00
daniels.du.edu/graduate-admissions/events/,72,90.28%,65,56.94%,1.83,00:00:59,4.17%,3,$0.00
daniels.du.edu/graduate-admissions/contact-us/,65,96.92%,63,49.23%,2.34,00:00:47,12.31%,8,$0.00
daniels.du.edu/burns-school/support/collaboratory/,63,77.78%,49,19.05%,1.46,00:02:33,0.00%,0,$0.00
daniels.du.edu/blog/barb-jackson-retires-from-burns-school/,59,86.44%,51,25.42%,1.25,00:01:24,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,54,98.15%,53,5.56%,1.17,00:01:34,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,54,83.33%,45,70.37%,1.15,00:00:14,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,51,88.24%,45,58.82%,1.22,00:00:11,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,51,50.98%,26,21.57%,1.35,00:02:31,0.00%,0,$0.00
daniels.du.edu/blog/daniels-canstruction-project-fights-hunger-and-food-waste/,50,78.00%,39,34.00%,1.26,00:00:54,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,45,80.00%,36,22.22%,2.04,00:01:32,0.00%,0,$0.00
daniels.du.edu/events/,43,46.51%,20,32.56%,1.86,00:02:17,2.33%,1,$0.00
daniels.du.edu/career-services/,39,61.54%,24,38.46%,1.74,00:01:57,0.00%,0,$0.00
daniels.du.edu/blog/what-everyone-needs-to-know-about-negotiation/,36,38.89%,14,19.44%,1.08,00:00:56,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,33,96.97%,32,93.94%,1.06,00:00:54,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/madden-challenge/,31,45.16%,14,9.68%,1.87,00:02:07,0.00%,0,$0.00
daniels.du.edu/blog/du-alum-builds-connections-through-distilling-company/,29,79.31%,23,10.34%,1.17,00:01:42,0.00%,0,$0.00
daniels.du.edu/blog/scaling-for-success-how-nonprofits-can-expand-their-reach/,28,82.14%,23,64.29%,1.07,00:00:44,0.00%,0,$0.00
daniels.du.edu/directory/,28,10.71%,3,7.14%,3.64,00:04:32,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,28,71.43%,20,7.14%,1.86,00:03:17,0.00%,0,$0.00
daniels.du.edu/blog/the-best-job-i-ever-had-accountancy-professor-retires-from-alma-mater/,27,74.07%,20,44.44%,1.07,00:00:49,0.00%,0,$0.00
daniels.du.edu/international-business/,27,66.67%,18,11.11%,2.04,00:02:09,0.00%,0,$0.00
daniels.du.edu/blog/qa-impact-of-the-coronavirus-pandemic-on-the-hospitality-industry/,25,100.00%,25,12.00%,1.04,00:02:31,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,25,72.00%,18,16.00%,2.76,00:03:57,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,25,84.00%,21,12.00%,1.08,00:01:35,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,24,79.17%,19,4.17%,3.29,00:04:57,0.00%,0,$0.00
daniels.du.edu/executive-education/,24,62.50%,15,8.33%,2.83,00:03:57,4.17%,1,$0.00
daniels.du.edu/blog/full-time-mba-program-at-daniels-climbs-in-rankings/,23,86.96%,20,39.13%,1.48,00:00:50,0.00%,0,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,22,86.36%,19,0.00%,1.00,00:00:50,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,22,72.73%,16,22.73%,1.68,00:01:00,0.00%,0,$0.00
daniels.du.edu/blog/,21,38.10%,8,14.29%,2.57,00:05:50,0.00%,0,$0.00
daniels.du.edu/blog/10-questions-with-mac-clouse-whats-a-spac/,21,71.43%,15,23.81%,1.05,00:01:17,0.00%,0,$0.00
daniels.du.edu/blog/impact-of-the-coronavirus-pandemic-on-marketing/,21,71.43%,15,33.33%,1.14,00:04:31,0.00%,0,$0.00
daniels.du.edu/blog/summer-internship-goals-and-expectations-by-rebecca-damas/,21,90.48%,19,0.00%,1.05,00:00:29,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/,21,61.90%,13,4.76%,1.95,00:01:21,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/pioneer-venture-group/,21,52.38%,11,23.81%,1.29,00:01:24,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,21,71.43%,15,52.38%,1.71,00:02:31,0.00%,0,$0.00
daniels.du.edu/request-info-form/,21,61.90%,13,33.33%,1.86,00:02:37,4.76%,1,$0.00
daniels.du.edu/directory/yashar-atefi/,20,20.00%,4,5.00%,1.25,00:07:36,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,19,78.95%,15,5.26%,1.95,00:01:12,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/insights-discovery/,19,78.95%,15,31.58%,1.37,00:03:28,0.00%,0,$0.00
daniels.du.edu/executive-phd/?utm_licrid=173650414,19,94.74%,18,47.37%,1.21,00:00:48,0.00%,0,$0.00
daniels.du.edu/blog/du-online-programs-recognized-in-u-s-news-2022-rankings/,18,100.00%,18,50.00%,2.56,00:00:35,5.56%,1,$0.00
daniels.du.edu/entrepreneurship/garage/,18,44.44%,8,27.78%,1.11,00:00:18,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,17,94.12%,16,0.00%,1.12,00:01:25,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,17,76.47%,13,23.53%,2.47,00:03:51,5.88%,1,$0.00
daniels.du.edu/undergraduate-programs/academics/,17,23.53%,4,11.76%,1.71,00:04:17,0.00%,0,$0.00
daniels.du.edu/blog/effective-immersion-experience/,16,81.25%,13,12.50%,1.06,00:00:45,0.00%,0,$0.00
daniels.du.edu/blog/students-take-on-art-diversity-challenge/,16,68.75%,11,75.00%,1.00,00:00:06,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,16,75.00%,12,12.50%,1.69,00:02:45,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/events/,16,0.00%,0,6.25%,2.06,00:02:46,0.00%,0,$0.00
