# ----------------------------------------
# Master
# Overview
# 20230301-20230315
# ----------------------------------------

Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
desktop,"9,772","7,914","13,693",23.90%,1.98,00:02:50,2.64%,362,$0.00
mobile,"8,976","8,434","10,188",52.00%,1.32,00:01:09,0.85%,87,$0.00
tablet,522,480,612,68.63%,1.23,00:00:48,0.49%,3,$0.00
,"19,270","16,828","24,493",36.71%,1.69,00:02:05,1.85%,452,$0.00

Day Index,Users
3/1/23,"1,339"
3/2/23,"1,317"
3/3/23,"1,261"
3/4/23,925
3/5/23,926
3/6/23,"1,770"
3/7/23,"1,746"
3/8/23,"1,871"
3/9/23,"1,671"
3/10/23,"1,518"
3/11/23,"1,244"
3/12/23,"1,232"
3/13/23,"1,889"
3/14/23,"1,945"
3/15/23,"1,708"
,"22,362"
