# ----------------------------------------
# Master
# Overview
# 20230215-20230228
# ----------------------------------------

Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
desktop,"11,087","8,625","14,315",26.15%,1.94,00:02:34,2.11%,302,$0.00
mobile,"7,307","6,890","8,597",43.20%,1.36,00:01:15,1.14%,98,$0.00
tablet,613,571,703,72.12%,1.16,00:00:42,0.71%,5,$0.00
,"19,007","16,086","23,615",33.72%,1.71,00:02:02,1.72%,405,$0.00

Day Index,Users
2/15/23,"1,839"
2/16/23,"1,614"
2/17/23,"1,435"
2/18/23,"1,063"
2/19/23,"1,172"
2/20/23,"1,775"
2/21/23,"1,824"
2/22/23,"2,292"
2/23/23,"2,167"
2/24/23,"1,498"
2/25/23,"1,181"
2/26/23,"1,152"
2/27/23,"1,784"
2/28/23,"1,704"
,"22,500"
