# ----------------------------------------
# Master
# Overview
# 20230201-20230214
# ----------------------------------------

Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
desktop,"10,734","9,018","14,392",28.88%,2.05,00:02:36,1.94%,279,$0.00
mobile,"9,225","8,971","10,557",52.26%,1.31,00:01:03,1.13%,119,$0.00
tablet,788,760,882,77.21%,1.16,00:00:27,0.45%,4,$0.00
,"20,747","18,749","25,831",40.09%,1.71,00:01:53,1.56%,402,$0.00

Day Index,Users
2/1/23,"1,580"
2/2/23,"2,046"
2/3/23,"1,940"
2/4/23,"1,626"
2/5/23,"1,147"
2/6/23,"1,800"
2/7/23,"1,647"
2/8/23,"1,537"
2/9/23,"1,533"
2/10/23,"1,909"
2/11/23,"1,448"
2/12/23,"1,141"
2/13/23,"2,194"
2/14/23,"1,822"
,"23,370"
